quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,itemName
202101,220319,6.057927,6.5,5.8,5.2,396,2021-01-01,Chinese
202102,220319,6.052037,6.5,5.8,5.2,397,2021-02-01,Chinese
202103,220319,6.034539,6.5,5.8,5.3,398,2021-03-01,Chinese
202104,220319,6.078638,6.5,5.8,5.2,399,2021-04-01,Chinese
202105,220319,6.022107,6.5,5.75,5.3,400,2021-05-01,Chinese
202106,220319,6.069551,6.5,5.8,5.3,401,2021-06-01,Chinese
202107,220319,6.086408,6.5,5.8,5.3,402,2021-07-01,Chinese
202108,220319,6.115101,6.5,5.8,5.25,403,2021-08-01,Chinese
202109,220319,6.141931,6.5,5.9,5.3,404,2021-09-01,Chinese
202110,220319,6.189154,6.6,5.9,5.3,405,2021-10-01,Chinese
202111,220319,6.22336,6.65,6,5.4,406,2021-11-01,Chinese
202112,220319,6.24916,6.7,6,5.5,407,2021-12-01,Chinese
202201,220319,6.304154,6.8,6,5.5,408,2022-01-01,Chinese
202202,220319,6.351508,6.8,6,5.5,409,2022-02-01,Chinese
202203,220319,6.41688,6.9,6,5.6,410,2022-03-01,Chinese
202204,220319,6.622698,7,6.1,5.6,411,2022-04-01,Chinese
202205,220319,6.66824,7,6.15,5.75,412,2022-05-01,Chinese
202206,220319,6.750476,7.2,6.2,5.75,413,2022-06-01,Chinese
202207,220319,6.829048,7.2,6.275,5.8,414,2022-07-01,Chinese
202208,220319,6.907166,7.2,6.35,5.8,415,2022-08-01,Chinese
202209,220319,6.881231,7.25,6.3,5.8,416,2022-09-01,Chinese
202210,220319,6.906667,7.3,6.3,5.9,417,2022-10-01,Chinese
