Year,Real GDP per Capita (2013 Pounds),Co2 Mt
1850,2707,129
1851,2803,123
1852,2863,122
1853,2934,122
1854,3014,147
1855,2964,138
1856,3077,148
1857,3069,145
1858,3031,143
1859,3124,158
1860,3164,177
1861,3193,185
1862,3126,179
1863,3249,190
1864,3254,205
1865,3371,217
1866,3376,223
1867,3361,229
1868,3453,225
1869,3490,236
1870,3721,241
1871,3889,255
1872,3859,269
1873,3837,279
1874,3948,271
1875,3939,286
1876,3908,286
1877,3896,291
1878,3844,286
1879,3733,288
1880,3950,313
1881,4011,330
1882,4038,332
1883,4116,346
1884,4028,337
1885,3946,333
1886,3918,330
1887,4046,338
1888,4145,352
1889,4237,364
1890,4236,372
1891,4323,380
1892,4165,372
1893,4079,334
1894,4231,382
1895,4322,386
1896,4447,397
1897,4460,407
1898,4623,408
1899,4742,437
1900,4689,443
1901,4743,433
1902,4769,450
1903,4669,454
1904,4683,456
1905,4792,462
1906,4863,478
1907,4933,500
1908,4689,487
1909,4753,492
1910,4842,496
1911,4968,508
1912,5032,481
1913,5223,526
1914,5278,510
1915,5536,516
1916,5578,535
1917,5534,529
1918,5647,493
1919,5215,481
1920,4880,496
1921,4383,337
1922,4571,452
1923,4681,480
1924,4869,502
1925,5024,474
1926,4847,260
1927,5201,492
1928,5225,462
1929,5362,486
1930,5301,465
1931,5035,435
1932,5010,418
1933,5149,414
1934,5439,447
1935,5615,453
1936,5857,479
1937,6035,494
1938,6056,474
1939,6287,477
1940,6844,501
1941,7441,496
1942,7546,495
1943,7614,480
1944,7246,466
1945,6891,441
1946,6717,460
1947,6588,487
1948,6733,502
1949,6919,512
1950,7114,528
1951,7420,575
1952,7517,558
1953,7909,570
1954,8221,583
1955,8505,608
1956,8603,606
1957,8725,602
1958,8798,587
1959,9106,577
1960,9600,616
1961,9776,621
1962,9794,625
1963,10207,637
1964,10700,641
1965,10855,656
1966,10966,652
1967,11206,625
1968,11762,640
1969,11935,661
1970,12222,685
1971,12580,667
1972,13080,649
1973,13902,682
1974,13555,642
1975,13355,620
1976,13748,626
1977,14093,636
1978,14687,633
1979,15219,667
1980,14885,610
1981,14762,600
1982,15077,579
1983,15706,578
1984,16037,561
1985,16666,586
1986,17152,601
1987,18033,606
1988,19039,606
1989,19476,594
1990,19560,596.3
1991,19274,603.6
1992,19294,587.3
1993,19733,572.8
1994,20448,568.8
1995,20901,560.1
1996,21383,580.9
1997,21995,554.1
1998,22634,558.4
1999,23294,552
2000,24083,558.3
2001,24645,566.7
2002,25128,549.8
2003,25881,561
2004,26397,561.8
2005,26973,557.9
2006,27460,554.8
2007,27936,545.9
2008,27534,531.1
2009,26158,480.8
2010,26447,498.3
2011,26623,455.6
2012,26794,474.2
2013,27136,464
2014,27756,424.9
2015,28142,408.3
2016,28448,385.8
