p_mean,p_75,p_median,p_25,dateStata,itemName
6.335308,6.95,6.375,5.6,2019-01-01,Fish and chips
5.187365,5.5,5,4.6,2019-01-01,Kebab
5.217097,5.5,5,4.7,2019-02-01,Kebab
6.251923,6.9,6.3,5.5,2019-02-01,Fish and chips
6.288258,6.9,6.375,5.5,2019-03-01,Fish and chips
5.215714,5.5,5,4.7,2019-03-01,Kebab
6.367404,7,6.45,5.5,2019-04-01,Fish and chips
5.250645,5.5,5.1,4.7,2019-04-01,Kebab
6.410882,7,6.475,5.6,2019-05-01,Fish and chips
5.26632,5.5,5.2,4.7,2019-05-01,Kebab
6.448296,7,6.5,5.6,2019-06-01,Fish and chips
5.260488,5.5,5.2,4.7,2019-06-01,Kebab
6.462279,7,6.5,5.725,2019-07-01,Fish and chips
5.32,5.55,5.25,4.8,2019-07-01,Kebab
5.310847,5.5,5.2,4.8,2019-08-01,Kebab
6.478508,7,6.5,5.7,2019-08-01,Fish and chips
6.480615,7.1,6.5,5.75,2019-09-01,Fish and chips
5.330339,5.6,5.3,4.8,2019-09-01,Kebab
6.529328,7.2,6.5,5.8,2019-10-01,Fish and chips
5.354833,5.9,5.35,4.8,2019-10-01,Kebab
6.555746,7.2,6.5,5.8,2019-11-01,Fish and chips
5.378347,5.9,5.4,4.8,2019-11-01,Kebab
6.586045,7.2,6.5,5.8,2019-12-01,Fish and chips
5.35686,5.9,5.4,4.8,2019-12-01,Kebab
5.38025,5.925,5.4,4.8,2020-01-01,Kebab
6.620902,7.3,6.5,5.9,2020-01-01,Fish and chips
6.578281,7.225,6.575,5.8,2020-02-01,Fish and chips
5.37314,5.9,5.4,4.8,2020-02-01,Kebab
6.54447,7.2,6.5,5.725,2020-03-01,Fish and chips
5.388095,5.95,5.4,4.8,2020-03-01,Kebab
6.709667,7.5,6.7,5.8,2020-04-01,Fish and chips
5.497465,6,5.5,4.9,2020-04-01,Kebab
5.47921,6,5.5,4.85,2020-05-01,Kebab
6.475111,7.2,6.3,5.8,2020-05-01,Fish and chips
6.718726,7.5,6.7,5.8,2020-06-01,Fish and chips
5.566429,6.175,5.5,4.8,2020-06-01,Kebab
6.849639,7.75,6.8,5.9,2020-07-01,Fish and chips
5.651917,6.445,5.5,4.9,2020-07-01,Kebab
6.734368,7.5,6.8,5.9,2020-08-01,Fish and chips
5.468252,5.99,5.3,4.9,2020-08-01,Kebab
6.775331,7.5,6.8,5.95,2020-09-01,Fish and chips
5.552083,6,5.5,4.945,2020-09-01,Kebab
6.832899,7.6,6.9,5.95,2020-10-01,Fish and chips
5.558525,6,5.5,4.99,2020-10-01,Kebab
5.625676,6,5.5,5,2020-11-01,Kebab
6.963155,7.75,6.99,6,2020-11-01,Fish and chips
7.026509,7.8,6.975,6.2,2020-12-01,Fish and chips
5.700345,6,5.5,5,2020-12-01,Kebab
6.960196,7.8,7,6,2021-01-01,Fish and chips
5.759402,6.2,5.5,5,2021-01-01,Kebab
5.783637,6.35,5.5,5,2021-02-01,Kebab
6.925598,7.9,6.9,6,2021-02-01,Fish and chips
5.79931,6.42,5.5,5,2021-03-01,Kebab
7.014179,7.9,7,6,2021-03-01,Fish and chips
7.044795,7.9,7,6,2021-04-01,Fish and chips
5.809145,6.5,5.5,5,2021-04-01,Kebab
7.035248,7.9,7,6.2,2021-05-01,Fish and chips
5.772203,6.5,5.5,5,2021-05-01,Kebab
5.79246,6.4,5.5,5,2021-06-01,Kebab
6.974748,7.9,6.9,6,2021-06-01,Fish and chips
6.984606,7.9,6.9,6,2021-07-01,Fish and chips
5.788281,6.45,5.5,5,2021-07-01,Kebab
7.017817,7.9,7,6,2021-08-01,Fish and chips
5.811641,6.5,5.5,5,2021-08-01,Kebab
7.069113,7.925,7.075,6,2021-09-01,Fish and chips
5.856063,6.5,5.5,5,2021-09-01,Kebab
5.871024,6.5,5.75,5,2021-10-01,Kebab
7.144,7.9,7.1,6,2021-10-01,Fish and chips
5.87813,6.5,5.8,5,2021-11-01,Kebab
7.214762,8,7.3,6.25,2021-11-01,Fish and chips
7.319692,8.2,7.4,6.3,2021-12-01,Fish and chips
5.923307,6.5,5.9,5,2021-12-01,Kebab
5.914597,6.5,5.9,5,2022-01-01,Kebab
7.377381,8.4,7.445,6.35,2022-01-01,Fish and chips
7.444095,8.5,7.5,6.35,2022-02-01,Fish and chips
5.998644,6.5,5.99,5.2,2022-02-01,Kebab
7.527907,8.5,7.5,6.35,2022-03-01,Fish and chips
6.045246,6.5,6,5.2,2022-03-01,Kebab
7.90672,9.1,7.9,6.8,2022-04-01,Fish and chips
6.107603,6.5,6,5.5,2022-04-01,Kebab
6.235714,6.99,6.2,5.5,2022-05-01,Kebab
8.109445,9.2,8,6.9,2022-05-01,Fish and chips
6.327118,6.99,6.3,5.5,2022-06-01,Kebab
8.22912,9.3,8.19,7,2022-06-01,Fish and chips
6.41748,7,6.45,5.5,2022-07-01,Kebab
8.34368,9.5,8.4,7.3,2022-07-01,Fish and chips
6.499915,7,6.5,5.9,2022-08-01,Kebab
8.500417,9.5,8.495,7.55,2022-08-01,Fish and chips
8.570168,9.5,8.6,7.6,2022-09-01,Fish and chips
6.514828,7,6.5,5.9,2022-09-01,Kebab
8.746526,9.6,8.9,7.9,2022-10-01,Fish and chips
6.611429,7,6.5,5.95,2022-10-01,Kebab
