quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata
199002,220315,2.887922,3.15,2.8,2.5,25,01/02/1990
199003,220315,2.915889,3.25,2.8,2.5,26,01/03/1990
199004,220315,2.96821,3.5,2.8,2.5,27,01/04/1990
199005,220315,2.99179,3.6,2.8,2.5,28,01/05/1990
199006,220315,2.983366,3.6,2.8,2.5,29,01/06/1990
199007,220315,2.938387,3.3,2.8,2.5,30,01/07/1990
199008,220315,2.956354,3.3,2.8,2.5,31,01/08/1990
199009,220315,2.987843,3.45,2.8,2.5,32,01/09/1990
199010,220315,3.008198,3.45,2.8,2.5,33,01/10/1990
199011,220315,3.035645,3.425,2.8,2.5,34,01/11/1990
199012,220315,3.080345,3.5,2.9,2.525,35,01/12/1990
199101,220315,3.044731,3.6,2.9,2.45,36,01/01/1991
199102,220315,3.072063,3.45,2.9,2.5,37,01/02/1991
199103,220315,3.058182,3.5,2.9,2.45,38,01/03/1991
199104,220315,3.068264,3.475,2.9,2.5,39,01/04/1991
199105,220315,3.097987,3.55,2.9,2.5,40,01/05/1991
199106,220315,3.144682,3.6,2.9,2.5,41,01/06/1991
199107,220315,3.170968,3.6,2.95,2.55,42,01/07/1991
199108,220315,3.226087,3.65,3,2.6,43,01/08/1991
199109,220315,3.15397,3.6,2.975,2.5,44,01/09/1991
199110,220315,3.253182,3.6,3,2.525,45,01/10/1991
199111,220315,3.246553,3.6,3,2.55,46,01/11/1991
199112,220315,3.267165,3.6,3,2.5,47,01/12/1991
199201,220315,3.23751,3.56,3,2.55,48,01/01/1992
199202,220315,3.272817,3.6,3,2.6,49,01/02/1992
199203,220315,3.297046,3.7,3,2.6,50,01/03/1992
199204,220315,3.306828,3.7,3,2.6,51,01/04/1992
199205,220315,3.336034,3.7,3,2.65,52,01/05/1992
199206,220315,3.328411,3.6,3.1,2.7,53,01/06/1992
199207,220315,3.340331,3.65,3.1,2.7,54,01/07/1992
199208,220315,3.322603,3.6,3.1,2.7,55,01/08/1992
199209,220315,3.332438,3.6,3.1,2.7,56,01/09/1992
199210,220315,3.334245,3.6,3.1,2.7,57,01/10/1992
199211,220315,3.361242,3.7,3.1,2.7,58,01/11/1992
199212,220315,3.381335,3.7,3.1,2.7,59,01/12/1992
199301,220315,3.404221,3.775,3.2,2.775,60,01/01/1993
199302,220315,3.395596,3.75,3.2,2.8,61,01/02/1993
199303,220315,3.39549,3.75,3.2,2.8,62,01/03/1993
199304,220315,3.417924,3.8,3.2,2.8,63,01/04/1993
