quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata
202101,212311,0.7987636,0.83,0.8,0.64,396,01/01/2021
202101,212309,1.404596,1.74,1.33,1,396,01/01/2021
202101,212310,0.646227,0.83,0.57,0.46,396,01/01/2021
202101,211101,15.82487,17.86,16.5,13.93,396,01/01/2021
202102,212310,0.6299696,0.83,0.56,0.46,397,01/02/2021
202102,212311,0.8091111,0.83,0.83,0.66,397,01/02/2021
202102,212309,1.373101,1.74,1.33,1,397,01/02/2021
202102,211101,15.88739,17.95,16.35,13.54,397,01/02/2021
202103,212309,1.387771,1.74,1.33,0.95,398,01/03/2021
202103,212310,0.650531,0.83,0.57,0.46,398,01/03/2021
202103,212311,0.851074,0.83,0.83,0.66,398,01/03/2021
202103,211101,16.13844,18.75,16.67,13.93,398,01/03/2021
202104,212309,1.435346,1.74,1.33,1,399,01/04/2021
202104,212311,0.8511524,0.83,0.83,0.66,399,01/04/2021
202104,211101,16.27527,18.75,16.67,13.93,399,01/04/2021
202104,212310,0.6597353,0.83,0.585,0.46,399,01/04/2021
202105,212309,1.47,1.87,1.33,1,400,01/05/2021
202105,211101,15.80238,18.75,16.35,12.27,400,01/05/2021
202105,212311,0.8491099,0.83,0.83,0.66,400,01/05/2021
202105,212310,0.6836207,0.88,0.66,0.46,400,01/05/2021
202106,212309,1.43418,1.69,1.33,0.95,401,01/06/2021
202106,211101,16.05554,18.75,16.67,12.27,401,01/06/2021
202106,212310,0.7019712,0.9,0.56,0.46,401,01/06/2021
202106,212311,0.9047339,1.25,0.8,0.5,401,01/06/2021
202107,211101,15.98558,18.06,16.6,12.27,402,01/07/2021
202107,212310,0.6803259,0.84,0.55,0.46,402,01/07/2021
202107,212309,1.396689,1.705,1.33,0.95,402,01/07/2021
202107,212311,0.9110073,1.2,0.83,0.5,402,01/07/2021
202108,212311,0.9015012,1.1,0.83,0.5,403,01/08/2021
202108,211101,16.20185,18.75,16.67,12.27,403,01/08/2021
202108,212309,1.342777,1.65,1.32,0.95,403,01/08/2021
202108,212310,0.6708634,0.83,0.515,0.46,403,01/08/2021
202109,212309,1.32509,1.65,1.32,0.85,404,01/09/2021
202109,211101,16.12878,18.75,16.6,12.27,404,01/09/2021
202109,212311,0.9041591,1.25,0.83,0.5,404,01/09/2021
202109,212310,0.6647525,0.83,0.5,0.46,404,01/09/2021
202110,211101,16.20835,18.75,16.67,12.27,405,01/10/2021
202110,212311,0.9051363,1.25,0.83,0.5,405,01/10/2021
202110,212310,0.6566667,0.83,0.5,0.46,405,01/10/2021
202110,212309,1.33497,1.65,1.32,0.95,405,01/10/2021
202111,211101,16.33677,18.75,16.6,11.85,406,01/11/2021
202111,212309,1.314342,1.65,1.3,0.89,406,01/11/2021
202111,212310,0.6727626,0.85,0.5,0.46,406,01/11/2021
202111,212311,0.9045265,1.1,0.8,0.5,406,01/11/2021
202112,212309,1.387555,1.65,1.32,0.89,407,01/12/2021
202112,212310,0.6726719,0.83,0.5,0.46,407,01/12/2021
202112,211101,16.49202,18.75,16.6,12.27,407,01/12/2021
202112,212311,0.8979629,1.1,0.8,0.5,407,01/12/2021
202201,212309,1.437723,1.87,1.32,0.89,408,01/01/2022
202201,212310,0.6731722,0.85,0.5,0.46,408,01/01/2022
202201,211101,16.3575,18.75,16.635,11.75,408,01/01/2022
202201,212311,0.9014384,1.1,0.8,0.5,408,01/01/2022
202202,212309,1.423878,1.85,1.33,0.95,409,01/02/2022
202202,212310,0.6786487,0.9,0.57,0.46,409,01/02/2022
202202,212311,0.9042954,1.135,0.8,0.5,409,01/02/2022
202202,211101,16.51851,18.75,16.51,13.93,409,01/02/2022
202203,212311,0.9031126,1.1,0.7,0.5,410,01/03/2022
202203,211101,16.70789,18.75,16.67,13.93,410,01/03/2022
202203,212309,1.389416,1.74,1.32,0.95,410,01/03/2022
202203,212310,0.6699611,0.9,0.57,0.4,410,01/03/2022
