quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO
202101,212309,1.404596,1.74,1.33,1,396,2021-01-01,01/01/2021
202101,211101,15.82487,17.86,16.5,13.93,396,2021-01-01,01/01/2021
202102,212309,1.373101,1.74,1.33,1,397,2021-02-01,01/02/2021
202102,211101,15.88739,17.95,16.35,13.54,397,2021-02-01,01/02/2021
202103,212309,1.387771,1.74,1.33,0.95,398,2021-03-01,01/03/2021
202103,211101,16.13844,18.75,16.67,13.93,398,2021-03-01,01/03/2021
202104,212309,1.435346,1.74,1.33,1,399,2021-04-01,01/04/2021
202104,211101,16.27527,18.75,16.67,13.93,399,2021-04-01,01/04/2021
202105,212309,1.47,1.87,1.33,1,400,2021-05-01,01/05/2021
202105,211101,15.80238,18.75,16.35,12.27,400,2021-05-01,01/05/2021
202106,212309,1.43418,1.69,1.33,0.95,401,2021-06-01,01/06/2021
202106,211101,16.05554,18.75,16.67,12.27,401,2021-06-01,01/06/2021
202107,211101,15.98558,18.06,16.6,12.27,402,2021-07-01,01/07/2021
202107,212309,1.396689,1.705,1.33,0.95,402,2021-07-01,01/07/2021
202108,211101,16.20185,18.75,16.67,12.27,403,2021-08-01,01/08/2021
202108,212309,1.342777,1.65,1.32,0.95,403,2021-08-01,01/08/2021
202109,212309,1.32509,1.65,1.32,0.85,404,2021-09-01,01/09/2021
202109,211101,16.12878,18.75,16.6,12.27,404,2021-09-01,01/09/2021
202110,211101,16.20835,18.75,16.67,12.27,405,2021-10-01,01/10/2021
202110,212309,1.33497,1.65,1.32,0.95,405,2021-10-01,01/10/2021
202111,211101,16.33677,18.75,16.6,11.85,406,2021-11-01,01/11/2021
202111,212309,1.314342,1.65,1.3,0.89,406,2021-11-01,01/11/2021
202112,212309,1.387555,1.65,1.32,0.89,407,2021-12-01,01/12/2021
202112,211101,16.49202,18.75,16.6,12.27,407,2021-12-01,01/12/2021
202201,212309,1.437723,1.87,1.32,0.89,408,2022-01-01,01/01/2022
202201,211101,16.3575,18.75,16.635,11.75,408,2022-01-01,01/01/2022
202202,212309,1.423878,1.85,1.33,0.95,409,2022-02-01,01/02/2022
202202,211101,16.51851,18.75,16.51,13.93,409,2022-02-01,01/02/2022
202203,211101,16.70789,18.75,16.67,13.93,410,2022-03-01,01/03/2022
202203,212309,1.389416,1.74,1.32,0.95,410,2022-03-01,01/03/2022
202204,212309,1.374888,1.65,1.3,0.95,411,2022-04-01,01/04/2022
202204,211101,16.87935,18.75,16.67,14,411,2022-04-01,01/04/2022
202205,211101,16.95536,19.79,16.67,14,412,2022-05-01,01/05/2022
202205,212309,1.358554,1.65,1.24,0.95,412,2022-05-01,01/05/2022
202206,212309,1.372709,1.65,1.3,0.95,413,2022-06-01,01/06/2022
202206,211101,17.30902,20.63,17.39,14.29,413,2022-06-01,01/06/2022
202207,211101,17.71662,20.63,17.71,14.81,414,2022-07-01,01/07/2022
202207,212309,1.373967,1.65,1.3,0.95,414,2022-07-01,01/07/2022
202208,211101,17.72561,20.63,17.71,14.905,415,2022-08-01,01/08/2022
202208,212309,1.37006,1.65,1.32,0.97,415,2022-08-01,01/08/2022
202209,211101,17.77078,20.63,18.2,14.81,416,2022-09-01,01/09/2022
202209,212309,1.389509,1.65,1.32,1.08,416,2022-09-01,01/09/2022
202210,211101,17.7836,19.05,17.32,15,417,2022-10-01,01/10/2022
202210,212309,1.362944,1.65,1.3,0.99,417,2022-10-01,01/10/2022
