,Country,Deaths / million
,World[a],829
0,Afghanistan,190
1,Albania,1264
2,Algeria,153
3,Andorra,1941
4,Angola,53
5,Anguilla,755
6,Antigua and Barbuda,1556
7,Argentina,2856
8,Armenia,3132
9,Aruba,2198
10,Australia,606
11,Austria,2359
12,Azerbaijan,961
13,Bahamas,2031
14,Bahrain,1040
15,Bangladesh,171
16,Barbados,1988
17,Belarus,746
18,Belgium,2831
19,Belize,1695
20,Benin,12
21,Bermuda,2320
22,Bhutan,26
23,Bolivia,1819
24,Bosnia and Herzegovina,5005
25,Botswana,1060
26,Brazil,3198
27,British Virgin Islands,2042
28,Brunei,501
29,Bulgaria,5597
30,Burkina Faso,17
31,Burundi,2
32,Cabo Verde,691
33,Cambodia,182
34,Cameroon,70
35,Canada,1229
36,Caribbean Netherlands,1404
37,Cayman Islands,523
38,Central African Republic,20
39,Chad,10
40,Chile,3164
41,China[c],3
42,Colombia,2734
43,Comoros,192
44,Cook Islands,58
45,Costa Rica,1740
46,Croatia,4275
47,Cuba,760
48,CuraÃ§ao,1532
49,Cyprus,1350
50,Czech Republic,3975
51,Democratic Republic of the Congo,14
52,Denmark,1266
53,Djibouti,168
54,Dominica,1017
55,Dominican Republic,390
56,Ecuador,1996
57,Egypt,223
58,El Salvador,667
59,Equatorial Guinea,109
60,Eritrea,27
61,Estonia,2079
62,Eswatini,1183
63,Ethiopia,61
64,European Union[b],2595
65,Falkland Islands,â
66,Faroe Islands,527
67,Federated States of Micronesia,507
68,Fiji,944
69,Finland,1247
70,France,2328
71,French Polynesia,2118
72,Gabon,128
73,Gambia,137
74,Georgia,4516
75,Germany,1868
76,Ghana,43
77,Gibraltar,3366
78,Greece,3263
79,Greenland,371
80,Grenada,1889
81,Guatemala,1116
82,Guinea,33
83,Guinea-Bissau,83
84,Guyana,1583
85,Haiti,74
86,Honduras,1058
87,Hong Kong,1406
88,Hungary,4826
89,Iceland,587
90,India,374
91,Indonesia,577
92,Iran,1633
93,Iraq,576
94,Isle of Man,1372
95,Israel,1248
96,Italy,3048
97,Ivory Coast,29
98,Jamaica,1184
99,Japan,385
100,Jordan,1251
101,Kazakhstan,982
102,Kenya,105
103,Kiribati,99
104,Kosovo,1796
105,Kuwait,601
106,Kyrgyzstan,451
107,Laos,100
108,Latvia,3284
109,Lebanon,1952
110,Lesotho,306
111,Liberia,55
112,Libya,944
113,Liechtenstein,2210
114,Lithuania,3422
115,Luxembourg,1778
116,Macau,8
117,Madagascar,47
118,Malawi,131
119,Malaysia,1077
120,Maldives,593
121,Mali,32
122,Malta,1515
123,Marshall Islands,408
124,Mauritania,210
125,Mauritius,794
126,Mexico,2591
127,Moldova,3635
128,Monaco,1781
129,Mongolia,627
130,Montenegro,4445
131,Montserrat,1812
132,Morocco,434
133,Mozambique,67
134,Myanmar,359
135,Namibia,1589
136,Nauru,78
137,Nepal,393
138,Netherlands,1307
139,New Caledonia,1082
140,New Zealand,415
141,Nicaragua,35
142,Niger,11
143,Nigeria,14
144,North Korea,0
145,North Macedonia,4568
146,Norway,788
147,Oman,1011
148,Pakistan,129
149,Palau,387
150,Palestine,1087
151,Panama,1931
152,Papua New Guinea,65
153,Paraguay,2891
154,Peru,6381
155,Philippines,557
156,Poland,2965
157,Portugal,2469
158,Qatar,253
159,Republic of Ireland,1612
160,Republic of the Congo,64
161,Romania,3420
162,Russia,2647
163,Rwanda,106
164,"Saint Helena, Ascension and Tristan da Cunha",â
165,Saint Kitts and Nevis,964
166,Saint Lucia,2268
167,Saint Pierre and Miquelon,169
168,Saint Vincent and the Grenadines,1115
169,Samoa,130
170,San Marino,3532
171,Sao Tome and Principe,338
172,Saudi Arabia,259
173,Senegal,113
174,Serbia,2519
175,Seychelles,1596
176,Sierra Leone,14
177,Singapore,301
178,Slovakia,3665
179,Slovenia,3255
180,Solomon Islands,211
181,Somalia,77
182,South Africa,1709
183,South Korea,574
184,South Sudan,12
185,Spain,2425
186,Sri Lanka,768
187,Sudan,106
188,Suriname,2252
189,Sweden,1977
190,Switzerland,1612
191,Syria,142
192,Taiwan,569
193,Tajikistan,12
194,Tanzania,12
195,Thailand,460
196,Timor-Leste,102
197,Togo,32
198,Tonga,112
199,Trinidad and Tobago,2780
200,Tunisia,2368
201,Turkey,1185
202,Turks and Caicos Islands,787
203,Tuvalu,â
204,Uganda,76
205,Ukraine,2976
206,United Arab Emirates,248
207,United Kingdom,3120
208,United States,3176
209,Uruguay,2199
210,Uzbekistan,47
211,Vanuatu,42
212,Vatican City,â
213,Venezuela,205
214,Vietnam,439
215,Wallis and Futuna,603
216,Yemen,64
217,Zambia,200
218,Zimbabwe,343
