Date,GRA Purchases,PRGT 1/2/,Totals,Year,Totals_billions,,GDP,,Totals_GDP
08/31/2022,93769635059,15254184552,109023819611,2022,109.0238196,,3376.003,,3.229375673
12/31/2021,89474552025,14554823681,104029375706,2021,104.0293757,,3187.626,,3.263537683
12/31/2020,93408630285,12481816684,105890446969,2020,105.890447,,3107.373,,3.407716002
12/31/2019,66945509865,6590835450,73536345315,2019,73.53634532,,3088.773,,2.380762371
12/31/2018,55395611392,6426181029,61821792421,2018,61.82179242,,2969.961,,2.081569166
12/31/2017,39585385873,6522280669,46107666542,2017,46.10766654,,2957.227,,1.559152089
12/31/2016,49267630851,6482647937,55750278788,2016,55.75027879,,2904.513,,1.919436366
12/31/2015,50757840741,6575911158,57333751899,2015,57.3337519,,2880.357,,1.990508534
12/31/2014,69041563463,6292755583,75334319046,2014,75.33431905,,2805.115,,2.685605369
12/31/2013,83899249061,6174392682,90073641743,2013,90.07364174,,2758.87,,3.26487445
12/31/2012,90042348252,5766292503,95808640755,2012,95.80864076,,2732.956,,3.505678129
12/31/2011,87276915790,5308609594,92585525384,2011,92.58552538,,2720.887,,3.402769956
12/31/2010,55620104510,4819344134,60439448644,2010,60.43944864,,2719.642,,2.222331051
12/31/2009,37221142436,5079705286,42300847722,2009,42.30084772,,2701.268,,1.565962641
12/31/2008,17514964723,3972372030,21487336753,2008,21.48733675,,2675.808,,0.803022368
12/31/2007,6036146757,3796945581,9833092338,2007,9.833092338,,2547.689,,0.385961251
12/31/2006,9822640239,3844020520,13666660759,2006,13.66666076,,2493.557,,0.548078939
12/31/2005,28432143237,6282121668,34714264905,2005,34.71426491,,2434.48,,1.425941676
12/31/2004,55373766674,6766029353,62139796027,2004,62.13979603,,2422.908,,2.564678313
12/31/2003,65032062712,6880893268,71912955980,2003,71.91295598,,2058.967,,3.492671615
12/31/2002,63601058794,6868671012,70469729806,2002,70.46972981,,1786.893,,3.943701711
12/31/2001,53477225409,6424578684,59901804093,2001,59.90180409,,1686.179,,3.552517502
12/31/2000,42990531049,6331595468,49322126517,2000,49.32212652,,1665.276,,2.961798916
12/31/1999,51061861875,6434274362,57496136237,1999,57.49613624,,1653.549,,3.477135315
12/31/1998,60451017051,6288825925,66739842976,1998,66.73984298,,1644.331,,4.058783966
12/31/1997,46559033783,6009867422,52568901205,1997,52.56890121,,1559.896,,3.370026028
12/31/1996,36127472805,5881609752,42009082557,1996,42.00908256,,1422.969,,2.952213475
12/31/1995,35929173412,5657438528,41586611940,1995,41.58661194,,1346.687,,3.088068121
12/31/1994,25611676952,4599768498,30211445450,1994,30.21144545,,1292.094,,2.338177056
12/31/1993,25196745031,3942792899,29139537930,1993,29.13953793,,1250.282,,2.330637243
12/31/1992,23967172718,3804463796,27771636514,1992,27.77163651,,1244.009,,2.232430514
12/31/1991,23378573926,3285717796,26664291722,1991,26.66429172,,1195.372,,2.230627095
12/31/1990,20731851093,2571911617,23303762710,1990,23.30376271,,1157.501,,2.013282296
12/31/1989,22315104224,2334886562,24649990786,1989,24.64999079,,1008.433,,2.444385575
12/31/1988,24750004884,1773964293,26523969177,1988,26.52396918,,990.234,,2.678555693
12/31/1987,28751979125,1866342930,30618322055,1987,30.61832206,,813.147,,3.765410443
12/31/1986,33334905644,2013169931,35348075575,1986,35.34807558,,654.684,,5.399257592
12/31/1985,35194787249,2470247948,37665035197,1985,37.6650352,,536.592,,7.019306139
12/31/1984,34936772393,2769874900,37706647293,1984,37.70664729,,504.226,,7.478124352
