p_mean,p_75,p_median,p_25,dateStata,itemName
6.057927,6.5,5.8,5.2,2021-01-01,Chinese
6.052037,6.5,5.8,5.2,2021-02-01,Chinese
6.034539,6.5,5.8,5.3,2021-03-01,Chinese
6.078638,6.5,5.8,5.2,2021-04-01,Chinese
6.022107,6.5,5.75,5.3,2021-05-01,Chinese
6.069551,6.5,5.8,5.3,2021-06-01,Chinese
6.086408,6.5,5.8,5.3,2021-07-01,Chinese
6.115101,6.5,5.8,5.25,2021-08-01,Chinese
6.141931,6.5,5.9,5.3,2021-09-01,Chinese
6.189154,6.6,5.9,5.3,2021-10-01,Chinese
6.22336,6.65,6,5.4,2021-11-01,Chinese
6.24916,6.7,6,5.5,2021-12-01,Chinese
6.304154,6.8,6,5.5,2022-01-01,Chinese
6.351508,6.8,6,5.5,2022-02-01,Chinese
6.41688,6.9,6,5.6,2022-03-01,Chinese
6.622698,7,6.1,5.6,2022-04-01,Chinese
6.66824,7,6.15,5.75,2022-05-01,Chinese
6.750476,7.2,6.2,5.75,2022-06-01,Chinese
6.829048,7.2,6.275,5.8,2022-07-01,Chinese
6.907166,7.2,6.35,5.8,2022-08-01,Chinese
6.881231,7.25,6.3,5.8,2022-09-01,Chinese
6.906667,7.3,6.3,5.9,2022-10-01,Chinese
