p_mean,p_75,p_median,p_25,dateStata,itemName
6.057927,6.5,5.8,5.2,01/01/2021,Chinese
6.052037,6.5,5.8,5.2,01/02/2021,Chinese
6.034539,6.5,5.8,5.3,01/03/2021,Chinese
6.078638,6.5,5.8,5.2,01/04/2021,Chinese
6.022107,6.5,5.75,5.3,01/05/2021,Chinese
6.069551,6.5,5.8,5.3,01/06/2021,Chinese
6.086408,6.5,5.8,5.3,01/07/2021,Chinese
6.115101,6.5,5.8,5.25,01/08/2021,Chinese
6.141931,6.5,5.9,5.3,01/09/2021,Chinese
6.189154,6.6,5.9,5.3,01/10/2021,Chinese
6.22336,6.65,6,5.4,01/11/2021,Chinese
6.24916,6.7,6,5.5,01/12/2021,Chinese
6.304154,6.8,6,5.5,01/01/2022,Chinese
6.351508,6.8,6,5.5,01/02/2022,Chinese
6.41688,6.9,6,5.6,01/03/2022,Chinese
6.622698,7,6.1,5.6,01/04/2022,Chinese
6.66824,7,6.15,5.75,01/05/2022,Chinese
6.750476,7.2,6.2,5.75,01/06/2022,Chinese
6.829048,7.2,6.275,5.8,01/07/2022,Chinese
6.907166,7.2,6.35,5.8,01/08/2022,Chinese
6.881231,7.25,6.3,5.8,01/09/2022,Chinese
6.906667,7.3,6.3,5.9,01/10/2022,Chinese
