itemName,dateStata,Percentage change
Cooking oil,2021-01-01,0
Cooking oil,2021-02-01,0.067547133
Cooking oil,2021-03-01,-0.002625058
Cooking oil,2021-04-01,0.069474943
Cooking oil,2021-05-01,0.056285928
Cooking oil,2021-06-01,0.034842574
Cooking oil,2021-07-01,0.023025845
Cooking oil,2021-08-01,0.014420371
Cooking oil,2021-09-01,-0.017362985
Cooking oil,2021-10-01,0.022187138
Cooking oil,2021-11-01,0.019054678
Cooking oil,2021-12-01,-0.023134782
Cooking oil,2022-01-01,0.024486444
Cooking oil,2022-02-01,0.078872589
Cooking oil,2022-03-01,0.050413656
Cooking oil,2022-04-01,0.105823595
Cooking oil,2022-05-01,0.151925788
Cooking oil,2022-06-01,0.177660245
Cooking oil,2022-07-01,0.211862684
Cooking oil,2022-08-01,0.237848065
Cooking oil,2022-09-01,0.234231207
Cooking oil,2022-10-01,0.273746163
Potatoes,2021-01-01,0
Potatoes,2021-02-01,-0.025157414
Potatoes,2021-03-01,0.006660198
Potatoes,2021-04-01,0.020903336
Potatoes,2021-05-01,0.057864651
Potatoes,2021-06-01,0.08626102
Potatoes,2021-07-01,0.052766133
Potatoes,2021-08-01,0.038123446
Potatoes,2021-09-01,0.028667171
Potatoes,2021-10-01,0.01615485
Potatoes,2021-11-01,0.041062351
Potatoes,2021-12-01,0.040921998
Potatoes,2022-01-01,0.041696184
Potatoes,2022-02-01,0.05017076
Potatoes,2022-03-01,0.036727187
Potatoes,2022-04-01,0.057014021
Potatoes,2022-05-01,0.055055422
Potatoes,2022-06-01,0.087742078
Potatoes,2022-07-01,0.140634638
Potatoes,2022-08-01,0.142203127
Potatoes,2022-09-01,0.170940088
Potatoes,2022-10-01,0.198699219
Frozen peas,2021-01-01,0
Frozen peas,2021-02-01,-0.030336323
Frozen peas,2021-03-01,-0.011600393
Frozen peas,2021-04-01,-0.00883248
Frozen peas,2021-05-01,-0.03207514
Frozen peas,2021-06-01,-0.091071424
Frozen peas,2021-07-01,-0.11974345
Frozen peas,2021-08-01,-0.048146776
Frozen peas,2021-09-01,-0.049329881
Frozen peas,2021-10-01,-0.080660523
Frozen peas,2021-11-01,-0.074164445
Frozen peas,2021-12-01,-0.049899078
Frozen peas,2022-01-01,-0.041292289
Frozen peas,2022-02-01,-0.009003523
Frozen peas,2022-03-01,-0.031070174
Frozen peas,2022-04-01,0.020698309
Frozen peas,2022-05-01,-0.007772867
Frozen peas,2022-06-01,0.046432799
Frozen peas,2022-07-01,0.14046518
Frozen peas,2022-08-01,0.116583771
Frozen peas,2022-09-01,0.149561676
Frozen peas,2022-10-01,0.143353035
White fish fillets,2021-01-01,0
White fish fillets,2021-02-01,0.003950743
White fish fillets,2021-03-01,0.019815013
White fish fillets,2021-04-01,0.028461529
White fish fillets,2021-05-01,-0.001421181
White fish fillets,2021-06-01,0.014576423
White fish fillets,2021-07-01,0.010155534
White fish fillets,2021-08-01,0.023821997
White fish fillets,2021-09-01,0.019204581
White fish fillets,2021-10-01,0.024232743
White fish fillets,2021-11-01,0.032347817
White fish fillets,2021-12-01,0.042158324
White fish fillets,2022-01-01,0.03365778
White fish fillets,2022-02-01,0.043832272
White fish fillets,2022-03-01,0.055799511
White fish fillets,2022-04-01,0.066634355
White fish fillets,2022-05-01,0.071437554
White fish fillets,2022-06-01,0.093785921
White fish fillets,2022-07-01,0.119542846
White fish fillets,2022-08-01,0.120110939
White fish fillets,2022-09-01,0.122965307
White fish fillets,2022-10-01,0.123775424
