LOCATION,Country,SEX,Sex,AGE,Age,TIME,Time,Value,Flag Codes,Flags
AUS,Australia,W,Women,TOTAL,Total,1950,1950,4055800,,
AUS,Australia,W,Women,TOTAL,Total,1951,1951,4168000,,
AUS,Australia,W,Women,TOTAL,Total,1952,1952,4263900,,
AUS,Australia,W,Women,TOTAL,Total,1953,1953,4352700,,
AUS,Australia,W,Women,TOTAL,Total,1954,1954,4440400,,
AUS,Australia,W,Women,TOTAL,Total,1955,1955,4543400,,
AUS,Australia,W,Women,TOTAL,Total,1956,1956,4649500,,
AUS,Australia,W,Women,TOTAL,Total,1957,1957,4757900,,
AUS,Australia,W,Women,TOTAL,Total,1958,1958,4865800,,
AUS,Australia,W,Women,TOTAL,Total,1959,1959,4976200,,
AUS,Australia,W,Women,TOTAL,Total,1960,1960,5082700,,
AUS,Australia,W,Women,TOTAL,Total,1961,1961,5195900,,
AUS,Australia,W,Women,TOTAL,Total,1962,1962,5301300,,
AUS,Australia,W,Women,TOTAL,Total,1963,1963,5407000,,
AUS,Australia,W,Women,TOTAL,Total,1964,1964,5516400,,
AUS,Australia,W,Women,TOTAL,Total,1965,1965,5626400,,
AUS,Australia,W,Women,TOTAL,Total,1966,1966,5757910,,
AUS,Australia,W,Women,TOTAL,Total,1967,1967,5859757,,
AUS,Australia,W,Women,TOTAL,Total,1968,1968,5965400,,
AUS,Australia,W,Women,TOTAL,Total,1969,1969,6092823,,
AUS,Australia,W,Women,TOTAL,Total,1970,1970,6215372,,
AUS,Australia,W,Women,TOTAL,Total,1971,1971,6499329,,
AUS,Australia,W,Women,TOTAL,Total,1972,1972,6618511,,
AUS,Australia,W,Women,TOTAL,Total,1973,1973,6721690,,
AUS,Australia,W,Women,TOTAL,Total,1974,1974,6832903,,
AUS,Australia,W,Women,TOTAL,Total,1975,1975,6923814,,
AUS,Australia,W,Women,TOTAL,Total,1976,1976,7001049,,
AUS,Australia,W,Women,TOTAL,Total,1977,1977,7087532,,
AUS,Australia,W,Women,TOTAL,Total,1978,1978,7177962,,
AUS,Australia,W,Women,TOTAL,Total,1979,1979,7261967,,
AUS,Australia,W,Women,TOTAL,Total,1980,1980,7357296,,
AUS,Australia,W,Women,TOTAL,Total,1981,1981,7474993,,
AUS,Australia,W,Women,TOTAL,Total,1982,1982,7603333,,
AUS,Australia,W,Women,TOTAL,Total,1983,1983,7707126,,
AUS,Australia,W,Women,TOTAL,Total,1984,1984,7801179,,
AUS,Australia,W,Women,TOTAL,Total,1985,1985,7905584,,
AUS,Australia,W,Women,TOTAL,Total,1986,1986,8018163,,
AUS,Australia,W,Women,TOTAL,Total,1987,1987,8145619,,
AUS,Australia,W,Women,TOTAL,Total,1988,1988,8283219,,
AUS,Australia,W,Women,TOTAL,Total,1989,1989,8426827,,
AUS,Australia,W,Women,TOTAL,Total,1990,1990,8553859,,
AUS,Australia,W,Women,TOTAL,Total,1991,1991,8668627,,
