Country,gdp,,pts,,,,,
Netherlands,202.797,,0.818,,,,,
New Zealand,208.601,,1.242,,,,,
Nicaragua,213.164,,1.703,,,,,
Niger,222.765,,1.522,,,,,
Nigeria,227.48,,1.273,,,,,
North Macedonia,238.148,,1.882,,,,,
Norway,238.301,,0.773,,,,,
Oman,274.249,,1.617,,,,,
Pakistan,276.281,,1.23,,,,,
Panama,296.689,,1.775,,,,,
Papua New Guinea,296.908,,0.949,,,,,
Paraguay,312.75,,0.959,,,,,
Peru,325.838,,0.462,,,,,
Philippines,333.242,,1.79,,,,,
Poland,344.17,,1.478,,,,,
Portugal,361.996,,1.644,,,,,
Puerto Rico,374.031,,1.75,,,,,
Qatar,379.694,,1.906,,,,,
Ireland,383.373,,1.324,,,,,
Romania,437.075,,1.288,,,,,
Russia,447.904,,1.63,,,,,
Rwanda,471.758,,1.823,,,,,
Samoa,474.373,,1.137,,,,,
San Marino,488.461,,1.086,,,,,
Saudi Arabia,526.639,,1.409,,,,,
Senegal,534.573,,1.649,,,,,
St. Kitts and Nevis,535.802,,1.649,,,,,
St. Lucia,543.437,,0.735,,,,,
Serbia,570.717,,1.477,,,,,
Seychelles,588.448,,1.775,,,,,
St. Vincent and the Grenadines,622.826,,1.979,,,,,
Sierra Leone,635.266,,0.974,,,,,
Singapore,651.635,,1.775,,,,,
Slovak Republic,659.252,,1.957,,,,,
Slovenia,674.013,,1.721,,,,,
Solomon Islands,724.067,,1.517,,,,,
Somalia,837.39,,1.412,,,,,
South Africa,868.576,,1.875,,,,,
South Sudan,971.274,,1.188,,,,,
Spain,"1,012.71",,0.897,,,,,
Sri Lanka,"1,083.36",,1.961,,,,Congo,1.162
Sudan,"1,095.45",,2.17,,,,,
Suriname,"1,134.02",,0.966,,,,,
Sweden,"1,154.07",,1.946,,,,,
Switzerland,"1,173.85",,0.655,,,,,
Syria,"1,332.56",,0.125,,,,,
Taiwan Province of China,"1,343.29",,1.021,,,,,
Tajikistan,"1,437.81",,1.75,,,,,
Tanzania,"1,449.33",,2.13,,,,,
Thailand,"1,453.55",,2.019,,,,,
Timor-Leste,"1,455.50",,1.901,,,,,
Togo,"1,465.54",,0.333,,,,,
Tonga,"1,465.54",,1.311,,,,,
Trinidad and Tobago,"1,751.18",,2.022,,,,,
Tunisia,"1,983.11",,2.296,,,,,
Türkiye,"2,024.96",,1.635,,,,,
Turkmenistan,"2,517.13",,2.126,,,,,
Tuvalu,"2,669.06",,2.138,,,,,
Uganda,"2,734.61",,2.237,,,,,
Ukraine,"2,953.94",,1.338,,,,,
United Arab Emirates,"3,358.91",,1.983,,,,,
Uruguay,"3,435.87",,2.197,,,,,
Uzbekistan,"3,566.26",,0.937,,,,,
Vanuatu,3776,,2.287,,,,,
Venezuela,"4,494.22",,2.112,,,,,
Vietnam,"4,888.36",,2.567,,,,,
Yemen,"5,606.55",,2,,,,,
Zambia,"10,193.54",,0.941,,,,,
Zimbabwe,n/a,,1.52,,,,,
,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, October 2022",,,,,,,,
