Country,gdp,,pts,,,,,
Afghanistan,n/a,,0.727,,,,,
Albania,45.953,,0.754,,,,,
Algeria,535.802,,1.649,,,,,
Samoa,1.162,,0.556,,,,,
Andorra,4.643,,0.242,,,,,
Angola,222.765,,1.522,,,,,
Antigua and Barbuda,1.959,,1.109,,,,,
Argentina,"1,083.36",,1.961,,,,,
Armenia,43.433,,0.778,,,,,
Aruba,4.55,,0.8,,,,,
Australia,"1,453.55",,2.019,,,,,
Austria,534.573,,1.649,,,,,
Azerbaijan,160.897,,0.545,,,,,
The Bahamas,13.538,,0.889,,,,,
Bahrain,79.391,,1.385,,,,,
Bangladesh,"1,173.85",,0.655,,,,,
Barbados,4.233,,0.951,,,,,
Belarus,202.797,,0.818,,,,,
Belgium,659.252,,1.957,,,,,
Belize,3.81,,1.034,,,,,
Benin,47.426,,1.12,,,,,
Bhutan,8.921,,0.75,,,,,
Bolivia,106.856,,0.958,,,,,
Bosnia and Herzegovina,56.65,,1.53,,,,,
Botswana,42.2,,1,,,,,
Brazil,"3,435.87",,2.197,,,,,
Brunei Darussalam,29.419,,0.375,,,,,
Bulgaria,178.16,,1.569,,,,,
Burkina Faso,52.998,,1.515,,,,,
Burundi,9.852,,1.182,,,,,
Cabo Verde,4.33,,1.325,,,,,
Cambodia,79.316,,0.444,,,,,
Cameroon,110.891,,2.032,,,,,
Canada,"2,024.96",,1.635,,,,,
Central African Republic,5.023,,0.5,,,,,
Chad,27.036,,1.111,,,,,
Chile,526.639,,1.409,,,,,
China,"27,206.09",,1.897,,,,,
Taiwan Province of China,"1,465.54",,0.333,,,,,
Colombia,837.39,,1.412,,,,,
Comoros,2.913,,0.4,,,,,
Democratic Republic of the Congo,113.067,,1.631,,,,,
Costa Rica,116.871,,1.743,,,,Congo,1.162
Côte d'Ivoire,160.648,,1.917,,,,,
Croatia,132.623,,2.069,,,,,
Cyprus,40.378,,0.508,,,,,
Czech Republic,471.758,,1.823,,,,,
Denmark,374.031,,1.75,,,,,
Djibouti,5.967,,0.381,,,,,
Dominica,0.85,,0.708,,,,,
Dominican Republic,227.48,,1.273,,,,,
Ecuador,208.601,,1.242,,,,,
Egypt,"1,455.50",,1.901,,,,,
El Salvador,63.022,,1.519,,,,,
England,3776,,2.287,,,,,
Equatorial Guinea,25.688,,1.036,,,,,
Eritrea,6.925,,0.3,,,,,
Estonia,56.747,,0.75,,,,,
Eswatini,11.601,,0.81,,,,,
Ethiopia,312.75,,0.959,,,,,
Fiji,10.523,,1.304,,,,,
Finland,296.908,,0.949,,,,,
France,"3,358.91",,1.983,,,,,
Gabon,35.528,,1.286,,,,,
The Gambia,6.022,,0.923,,,,,
Georgia,63.036,,0.781,,,,,
Germany,"4,888.36",,2.567,,,,,
Ghana,196.05,,1.725,,,,,
Greece,344.17,,1.478,,,,,
