Country,pop,pts
Albania,2.873,0.754
Algeria,44.462,1.649
Andorra,0.08,0.242
Angola,31.962,1.522
Antigua and Barbuda,0.099,1.109
Argentina,45.842,1.961
Armenia,2.962,0.778
Aruba,0.109,0.8
Australia,25.767,2.019
Austria,8.946,1.649
Azerbaijan,10.119,0.545
The Bahamas,0.389,0.889
Bahrain,1.487,1.385
Bangladesh,166.657,0.655
Barbados,0.289,0.951
Belarus,9.35,0.818
Belgium,11.555,1.957
Belize,0.43,1.034
Benin,12.487,1.12
Bhutan,0.753,0.75
Bolivia,11.8,0.958
Bosnia and Herzegovina,3.481,1.53
Botswana,2.401,1
Brazil,212.609,2.197
Brunei Darussalam,0.43,0.375
Bulgaria,6.839,1.569
Burkina Faso,21.521,1.515
Burundi,12.231,1.182
Cabo Verde,0.563,1.325
Cambodia,15.835,0.444
Cameroon,27.224,2.032
Canada,38.226,1.635
Central African Republic,4.92,0.5
Chad,16.915,1.111
Chile,19.718,1.409
China,"1,412.60",1.897
Colombia,51.049,0.333
Comoros,0.921,1.412
Democratic Republic of the Congo,93.751,0.4
Republic of Congo,4.799,1.631
Costa Rica,5.18,1.743
Côte d'Ivoire,27.659,1.917
Croatia,4.034,2.069
Cyprus,0.896,0.508
Czech Republic,10.495,1.823
Denmark,5.84,1.75
Djibouti,1.002,0.381
Dominica,0.074,0.708
Dominican Republic,10.54,1.273
Ecuador,17.757,1.242
Egypt,102.1,1.901
El Salvador,6.519,1.519
England,55.98,2.287
Equatorial Guinea,1.452,1.036
Eritrea,3.601,0.3
Estonia,1.331,0.75
Eswatini,1.139,0.81
Ethiopia,99.701,0.959
Fiji,0.905,1.304
Finland,5.534,0.949
France,65.447,1.983
Gabon,2.135,1.286
The Gambia,2.492,0.923
Georgia,3.729,0.781
Germany,83.196,2.567
Ghana,31.394,1.725
Greece,10.679,1.478
Grenada,0.113,0.931
Guatemala,18.34,1.492
Guinea,14.317,1.469
Guinea-Bissau,1.855,0.95
Guyana,0.789,0.789
Haiti,11.906,1.505
Honduras,10.117,1.53
Hong Kong SAR,7.403,1.086
Hungary,9.731,1.644
Iceland,0.369,0.966
India,"1,393.41",0.941
Indonesia,272.249,0.937
Islamic Republic of Iran,84.841,2.13
Iraq,41.176,1.63
Ireland,5.039,1.477
Israel,9.367,1.288
Italy,59.236,2.237
Jamaica,2.74,1.263
Japan,125.507,2
Jordan,10.269,1.436
Kazakhstan,19.126,0.735
Kenya,49.801,1.23
Korea,51.736,2.126
Kosovo,1.769,0.333
Kuwait,4.736,1.703
Kyrgyz Republic,6.654,1.282
Lao P.D.R.,7.379,0.464
Latvia,1.893,0.953
Lesotho,2.087,0.615
Liberia,5.18,1
Libya,6.71,1.339
Lithuania,2.803,0.864
Luxembourg,0.635,0.239
Macao SAR,0.683,0.378
Madagascar,28.178,1.143
Malawi,21.474,0.985
Malaysia,32.7,1.188
Maldives,0.384,0.75
Mali,20.858,1.458
Malta,0.516,0.188
Mauritania,4.24,0.5
Mauritius,1.264,0.3
Mexico,128.972,2.138
Moldova,2.587,0.412
Mongolia,3.41,0.792
Montenegro,0.622,1.3
Morocco,36.313,1.79
Mozambique,32.077,1
Myanmar,53.55,0.773
Namibia,2.55,0.94
Nepal,29.656,0.579
Netherlands,17.475,2.17
New Zealand,5.112,1.882
Nicaragua,6.539,1.12
Niger,25.131,1.083
Nigeria,211.401,1.946
North Macedonia,2.069,1.042
Norway,5.415,1.324
Oman,4.527,1.568
Pakistan,222.59,0.125
Panama,4.337,1.228
Papua New Guinea,8.964,1.269
Paraguay,7.353,1.419
Peru,33.829,1.137
Philippines,110.2,0.897
Poland,37.84,1.75
Portugal,10.292,1.906
Puerto Rico,3.121,0.966
Qatar,2.618,1.617
Romania,19.202,1.775
Russia,145.558,2.112
Rwanda,12.957,0.773
Samoa,0.2,1.077
San Marino,0.034,0.026
Saudi Arabia,35.459,2.022
Senegal,17.204,1.676
Serbia,6.872,2.029
Seychelles,0.098,0.125
Sierra Leone,8.141,0.957
Singapore,5.454,0.974
Slovak Republic,5.46,1.676
Slovenia,2.109,1.444
Solomon Islands,0.7,1.368
Somalia,15.189,0.462
South Africa,60.143,1.875
South Sudan,14.179,0.5
Spain,47.399,2.296
Sri Lanka,22.156,0.462
St. Kitts and Nevis,0.058,1.389
St. Lucia,0.182,0.917
St. Vincent and the Grenadines,0.111,0.855
Sudan,45.498,0.958
Suriname,0.61,1.159
Sweden,10.452,1.979
Switzerland,8.67,1.721
Syria,n/a,1.52
Taiwan Province of China,23.375,1.311
Tajikistan,9.657,1.341
Tanzania,59.73,1
Thailand,69.951,1.021
Timor-Leste,1.344,0
Togo,8.49,1.254
Tonga,0.1,1
Trinidad and Tobago,1.407,1.418
Tunisia,12.019,1.929
Türkiye,84.68,1.338
Turkmenistan,6.152,1.413
Tuvalu,0.011,0.25
Uganda,42.46,1.312
Ukraine,41.077,1.775
United Arab Emirates,10.187,1.517
United States,332.183,1.738
Uruguay,3.543,1.61
Uzbekistan,34.559,1.775
Vanuatu,0.312,1.054
Venezuela,27.586,0.696
Vietnam,98.499,0.966
Yemen,30.911,0.897
Zambia,19.456,1.588
Zimbabwe,15.492,1.217
