,Rank,Former Spanish Colonies
0,1,Argentina
1,1,Belgium
2,1,Belize
3,1,Bolivia
4,1,California (United States)
5,1,Chile
6,1,Colombia
7,1,Costa Rica
8,1,Cuba
9,1,Dominican Republic
10,1,Ecuador
11,1,El Salvador
12,1,Equatorial Guinea
13,1,Florida (United States)
14,1,Guam (unincorporated territory of the United States)
15,1,Guatemala
16,1,Haiti
17,1,Honduras
18,1,Italy
19,1,Jamaica
20,1,Louisiana (United States)
21,1,Luxembourg
22,1,Mexico
23,1,Morocco
24,1,Nicaragua
25,1,Panama
26,1,Paraguay
27,1,Peru
28,1,Portugal
29,1,Puerto Rico (unincorporated territory of the United States)
30,1,The Netherlands
31,1,The Philippines
32,1,Trinidad and Tobago
33,1,Uruguay
34,1,Venezuela
