itemName,dateStata,Percentage change
Pizza,2021-01-01,0
Pizza,2021-02-01,-1.231387526
Pizza,2021-03-01,0.178829629
Pizza,2021-04-01,0.880438269
Pizza,2021-05-01,0.205530073
Pizza,2021-06-01,0.095604121
Pizza,2021-07-01,-1.054866137
Pizza,2021-08-01,-1.577591468
Pizza,2021-09-01,-2.121477463
Pizza,2021-10-01,-1.135880028
Pizza,2021-11-01,-3.200435195
Pizza,2021-12-01,-0.68279916
Pizza,2022-01-01,-0.449774179
Pizza,2022-02-01,-0.284321611
Pizza,2022-03-01,-0.816226226
Pizza,2022-04-01,1.650145387
Pizza,2022-05-01,2.108207761
Pizza,2022-06-01,1.506873405
Pizza,2022-07-01,2.92665634
Pizza,2022-08-01,7.484437437
Pizza,2022-09-01,7.115496527
Pizza,2022-10-01,9.947252485
Fish and chips,2021-01-01,0
Fish and chips,2021-02-01,-0.497083703
Fish and chips,2021-03-01,0.775595975
Fish and chips,2021-04-01,1.215468645
Fish and chips,2021-05-01,1.078302967
Fish and chips,2021-06-01,0.209074572
Fish and chips,2021-07-01,0.350708515
Fish and chips,2021-08-01,0.827864618
Fish and chips,2021-09-01,1.564855358
Fish and chips,2021-10-01,2.640787702
Fish and chips,2021-11-01,3.657454474
Fish and chips,2021-12-01,5.165026962
Fish and chips,2022-01-01,5.993868563
Fish and chips,2022-02-01,6.952376054
Fish and chips,2022-03-01,8.156537546
Fish and chips,2022-04-01,13.5990998
Fish and chips,2022-05-01,16.51173329
Fish and chips,2022-06-01,18.23115326
Fish and chips,2022-07-01,19.87708392
Fish and chips,2022-08-01,22.1289889
Fish and chips,2022-09-01,23.13113022
Fish and chips,2022-10-01,25.66493817
Chinese,2021-01-01,0
Chinese,2021-02-01,0.097322604
Chinese,2021-03-01,-0.097227979
Chinese,2021-04-01,-0.386072661
Chinese,2021-05-01,0.341882628
Chinese,2021-06-01,-0.591291377
Chinese,2021-07-01,0.19188082
Chinese,2021-08-01,0.470144325
Chinese,2021-09-01,0.943788197
Chinese,2021-10-01,1.386678975
Chinese,2021-11-01,2.166203059
Chinese,2021-12-01,2.730851659
Chinese,2022-01-01,3.156739921
Chinese,2022-02-01,4.064542211
Chinese,2022-03-01,4.846228751
Chinese,2022-04-01,5.925343769
Chinese,2022-05-01,9.322842616
Chinese,2022-06-01,10.07461793
Chinese,2022-07-01,11.43211201
Chinese,2022-08-01,12.72912335
Chinese,2022-09-01,14.01864037
Chinese,2022-10-01,13.59052362
Indian,2021-01-01,0
Indian,2021-02-01,0.00122578
Indian,2021-03-01,-0.451295355
Indian,2021-04-01,0.728456429
Indian,2021-05-01,1.241138838
Indian,2021-06-01,1.423865835
Indian,2021-07-01,1.408948095
Indian,2021-08-01,1.306644511
Indian,2021-09-01,2.277609219
Indian,2021-10-01,2.678181806
Indian,2021-11-01,2.967465842
Indian,2021-12-01,3.487662281
Indian,2022-01-01,3.70489498
Indian,2022-02-01,4.420492979
Indian,2022-03-01,5.607047842
Indian,2022-04-01,5.773925506
Indian,2022-05-01,7.633433488
Indian,2022-06-01,9.776501114
Indian,2022-07-01,10.0888911
Indian,2022-08-01,12.1937144
Indian,2022-09-01,13.53150597
Indian,2022-10-01,12.92715975
