itemName,dateStata,Percentage change,Price
Pizza,2021-01-01,0,9.314452
Pizza,2021-02-01,-1.231387526,9.199755
Pizza,2021-03-01,0.178829629,9.331109
Pizza,2021-04-01,0.880438269,9.39646
Pizza,2021-05-01,0.205530073,9.333596
Pizza,2021-06-01,0.095604121,9.323357
Pizza,2021-07-01,-1.054866137,9.216197
Pizza,2021-08-01,-1.577591468,9.167508
Pizza,2021-09-01,-2.121477463,9.116848
Pizza,2021-10-01,-1.135880028,9.208651
Pizza,2021-11-01,-3.200435195,9.016349
Pizza,2021-12-01,-0.68279916,9.250853
Pizza,2022-01-01,-0.449774179,9.272558
Pizza,2022-02-01,-0.284321611,9.287969
Pizza,2022-03-01,-0.816226226,9.238425
Pizza,2022-04-01,1.650145387,9.468154
Pizza,2022-05-01,2.108207761,9.51082
Pizza,2022-06-01,1.506873405,9.454809
Pizza,2022-07-01,2.92665634,9.587054
Pizza,2022-08-01,7.484437437,9.691172
Pizza,2022-09-01,7.115496527,9.657907
Pizza,2022-10-01,9.947252485,9.913228
Fish and chips,2021-01-01,0,6.960196
Fish and chips,2021-02-01,-0.497083703,6.925598
Fish and chips,2021-03-01,0.775595975,7.014179
Fish and chips,2021-04-01,1.215468645,7.044795
Fish and chips,2021-05-01,1.078302967,7.035248
Fish and chips,2021-06-01,0.209074572,6.974748
Fish and chips,2021-07-01,0.350708515,6.984606
Fish and chips,2021-08-01,0.827864618,7.017817
Fish and chips,2021-09-01,1.564855358,7.069113
Fish and chips,2021-10-01,2.640787702,7.144
Fish and chips,2021-11-01,3.657454474,7.214762
Fish and chips,2021-12-01,5.165026962,7.319692
Fish and chips,2022-01-01,5.993868563,7.377381
Fish and chips,2022-02-01,6.952376054,7.444095
Fish and chips,2022-03-01,8.156537546,7.527907
Fish and chips,2022-04-01,13.5990998,7.90672
Fish and chips,2022-05-01,16.51173329,8.109445
Fish and chips,2022-06-01,18.23115326,8.22912
Fish and chips,2022-07-01,19.87708392,8.34368
Fish and chips,2022-08-01,22.1289889,8.500417
Fish and chips,2022-09-01,23.13113022,8.570168
Fish and chips,2022-10-01,25.66493817,8.746526
Chinese,2021-01-01,0,6.057927
Chinese,2021-02-01,0.097322604,6.052037
Chinese,2021-03-01,-0.097227979,6.034539
Chinese,2021-04-01,-0.386072661,6.078638
Chinese,2021-05-01,0.341882628,6.022107
Chinese,2021-06-01,-0.591291377,6.069551
Chinese,2021-07-01,0.19188082,6.086408
Chinese,2021-08-01,0.470144325,6.115101
Chinese,2021-09-01,0.943788197,6.141931
Chinese,2021-10-01,1.386678975,6.189154
Chinese,2021-11-01,2.166203059,6.22336
Chinese,2021-12-01,2.730851659,6.24916
Chinese,2022-01-01,3.156739921,6.304154
Chinese,2022-02-01,4.064542211,6.351508
Chinese,2022-03-01,4.846228751,6.41688
Chinese,2022-04-01,5.925343769,6.622698
Chinese,2022-05-01,9.322842616,6.66824
Chinese,2022-06-01,10.07461793,6.750476
Chinese,2022-07-01,11.43211201,6.829048
Chinese,2022-08-01,12.72912335,6.907166
Chinese,2022-09-01,14.01864037,6.881231
Chinese,2022-10-01,13.59052362,6.906667
Indian,2021-01-01,0,8.158072
Indian,2021-02-01,0.00122578,8.158172
Indian,2021-03-01,-0.451295355,8.121255
Indian,2021-04-01,0.728456429,8.2175
Indian,2021-05-01,1.241138838,8.259325
Indian,2021-06-01,1.423865835,8.274232
Indian,2021-07-01,1.408948095,8.273015
Indian,2021-08-01,1.306644511,8.264669
Indian,2021-09-01,2.277609219,8.343881
Indian,2021-10-01,2.678181806,8.37656
Indian,2021-11-01,2.967465842,8.40016
Indian,2021-12-01,3.487662281,8.442598
Indian,2022-01-01,3.70489498,8.46032
Indian,2022-02-01,4.420492979,8.518699
Indian,2022-03-01,5.607047842,8.615499
Indian,2022-04-01,5.773925506,8.629113
Indian,2022-05-01,7.633433488,8.780813
Indian,2022-06-01,9.776501114,8.955646
Indian,2022-07-01,10.0888911,8.981131
Indian,2022-08-01,12.1937144,9.152844
Indian,2022-09-01,13.53150597,9.261982
Indian,2022-10-01,12.92715975,9.212679
