country,points,gdp,
Afghanistan,0.727,20136,42523418.00
Australia,2.019,1724787,25740000.00
Bahrain,1.385,43544,"1381000	"
Bangladesh,0.655,460751,171200000.00
Bhutan,0.75,2707,"760000	"
Brunei,0.375,18464,421000.00
Cambodia,0.444,28330,17040000.00
Chinese Taipei Republic of China,0.333,850000,"25055000	"
Guam,0.5,5840,170184.00
Hong Kong,1.086,368100,"7600000	"
India,0.941,3468566,1411944971.00
Indonesia Dutch East Indies,0.937,1289429,278462000.00
Iran,2.13,1973738,"88000000	"
Iraq,1.63,282876,44575000.00
Japan,2,4300621,124891000.00
Jordan,1.436,48066,11837000.00
Kuwait,1.703,183568,4161000.00
Kyrgyzstan,1.282,9750,6543000.00
Laos,0.464,16250,7500000.00
Lebanon,1.208,24494,6288000.00
Macau,0.378,23420,641000.00
Malaysia,1.188,434059,34032000.00
Maldives,0.75,5900,454914.00
Mongolia,0.792,15720,"3029000	"
Myanmar,0.773,59530,54486253.00
Nepal,0.579,39028,"30200000	"
North Korea,1.639,4582,26180000.00
Oman,1.568,108969,"4181000	"
Pakistan,0.125,376493,"229785000	"
Palestine,1.265,19698,5683000.00
Philippines,0.897,401662,"115699395	"
Qatar,1.617,221369,2113000.00
Saudi Arabia,2.022,1010588,35849000.00
Singapore,0.974,423632,5541000.00
South Korea,2.126,1734207,"51617000	"
Sri Lanka,0.462,73739,"23480000	"
Syria,1.52,21450,19541000.00
Tajikistan,1.341,9983,10000000.00
Thailand,1.021,534758,"70100000	"
Timor-Leste,0,1959,1645000.00
Turkmenistan,1.413,74439,5302000.00
United Arab Emirates,1.517,503913,10100000.00
Uzbekistan,1.775,79117,35283000.00
Vietnam South Vietnam,0.966,413808,99100000.00
Yemen North Yemen,0.897,27594,31100000.00
