,Unnamed: 0,1,Country,Total attempts,Successful attempts,Appearances,pld,w,d,l,gf,ga,gd,total,avg,confederation,Reduced Dimension 1,Reduced Dimension 2
0,0,1,Mexico,17,14,17,189,121,41,27,453,134,+319,404,2.138,CONCACAF,6.420932803854687,-1.6635133924711403
1,1,2,Costa Rica,17,6,6,187,93,47,47,309,184,+125,326,1.743,CONCACAF,5.357320640550661,0.19205382911721613
2,2,3,Australia,15,6,6,161,95,40,26,407,125,+282,325,2.019,AFC,5.135859331071414,-1.4338925813757422
3,3,4,South Korea,15,10,11,151,94,39,18,299,90,+209,321,2.126,AFC,4.411146517094214,-1.9537357713523955
4,4,5,Iran,11,6,6,146,92,35,19,316,89,+227,311,2.13,AFC,4.250943163716173,-1.9459744615754455
5,5,6,Argentina,14,13,18,153,86,42,25,262,135,+127,300,1.961,CONMEBOL,4.268111614652636,-1.0680731654207896
6,6,7,Netherlands,19,11,11,135,89,26,20,329,101,+228,293,2.17,UEFA,3.8766479715051996,-1.842417215893229
7,7,8,United States,19,9,11,168,84,40,44,287,191,+96,292,1.738,CONCACAF,4.595386019670593,0.23826316325073119
8,8,9,Spain,19,15,16,125,87,26,12,291,81,+210,287,2.296,UEFA,3.5133754807756046,-2.323646878405371
9,9,10,Portugal,21,8,8,149,83,35,31,284,146,+138,284,1.906,UEFA,4.051921529169408,-0.7406860708558274
10,10,11,England,17,14,16,122,84,27,11,314,70,+244,279,2.287,UEFA,3.49076021269867,-2.4575318081341444
11,11,12,Brazil,13,13,22,127,82,33,12,280,75,+205,279,2.197,CONMEBOL,3.522472418911052,-2.2415340929531364
12,12,13,Sweden,20,11,12,141,86,21,34,280,129,+151,279,1.979,UEFA,3.5653151006323496,-0.8866101947580012
13,13,14,Uruguay,17,11,14,172,77,46,49,240,186,+54,277,1.61,CONMEBOL,4.412401448632825,0.5882575672745622
14,14,15,Japan,15,6,7,138,83,27,28,305,91,+214,276,2.0,AFC,3.618541844629785,-1.453489272403291
15,15,16,Serbia Serbia and Montenegro FR Yugoslavia SFR Yugoslavia Kingdom of Yugoslavia,20,12,13,136,81,33,22,287,123,+164,276,2.029,UEFA,3.7440969877091725,-1.3423215602687986
16,16,17,Belgium,20,13,14,141,83,27,31,302,147,+155,276,1.957,UEFA,3.805483320279057,-0.807832481402454
17,17,18,Saudi Arabia,12,6,6,136,81,32,23,266,103,+163,275,2.022,AFC,3.5637843442356156,-1.4570028119884109
18,18,19,Czech Republic Representation of Czechs and Slovaks Czechoslovakia,20,9,9,147,79,31,37,280,126,+154,268,1.823,UEFA,3.712336302201389,-0.625267218850594
19,19,20,Germany West Germany Germany,15,15,20,104,83,18,3,328,74,+254,267,2.567,UEFA,3.14686996745184,-2.922775521268804
20,20,21,Russia Soviet Union,16,10,11,125,80,24,21,246,81,+165,264,2.112,UEFA,3.0376743578302987,-1.7698157280584217
21,21,22,Italy,17,14,18,118,78,30,10,234,72,+162,264,2.237,UEFA,3.029865604602831,-2.2789160232363956
22,22,23,Honduras,15,3,3,164,69,44,51,262,199,+63,251,1.53,CONCACAF,4.158755713718162,0.8596839976578065
23,23,24,Romania,18,5,7,138,72,29,37,238,142,+96,245,1.775,UEFA,3.215929317832802,-0.34041810032869296
24,24,25,Paraguay,18,6,8,172,69,37,66,213,215,−2,244,1.419,CONMEBOL,3.8944038220858985,1.6605723103155536
25,25,26,El Salvador,14,2,2,160,70,33,57,260,187,+73,243,1.519,CONCACAF,3.7622514968628273,0.9412810604744886
26,26,27,Switzerland,20,11,12,140,68,37,35,220,150,+70,241,1.721,UEFA,3.3088250241791326,-0.22884502271880677
27,27,28,Colombia,17,6,6,170,62,54,54,200,178,+22,240,1.412,CONMEBOL,4.011182352301608,1.0165731338254174
28,28,29,China,12,1,1,126,73,20,33,269,96,+173,239,1.897,AFC,2.8420719903103313,-1.049631924593193
29,29,30,Scotland,19,9,8,136,69,30,37,210,146,+64,237,1.743,UEFA,3.028021749889621,-0.21890832939440866
30,30,31,France,18,12,16,119,70,26,23,234,91,+143,236,1.983,UEFA,2.7085402161567993,-1.4220286945686453
31,31,32,Denmark,16,6,6,132,67,30,35,242,144,+98,231,1.75,UEFA,3.0536419408599267,-0.33983594360577213
