Team,Appearances
Afghanistan,0
Albania,0
Algeria,4
Andorra,0
Angola,1
Antigua and Barbuda,0
Argentina,18
Armenia,0
Australia,6
Austria,7
Azerbaijan,0
Bahrain,0
Bangladesh,0
Barbados,0
Belarus,0
Belgium,14
Belize,0
Benin,0
Bhutan,0
Bolivia,3
Bosnia and Herzegovina,1
Botswana,0
Brazil,22
Brunei,0
Bulgaria,7
Burkina Faso,0
Burundi,0
Cabo Verde,0
Cambodia,0
Cameroon,8
Canada,2
Central African Rep.,0
Chad,0
Channel Islands,0
Chile,9
China,1
Colombia,6
Comoros,0
Congo,0
Costa Rica,6
Côte d'Ivoire,3
Croatia,6
Cuba,1
Cyprus,0
Czech Republic,9
Denmark,6
Djibouti,0
Dominica,0
Dominican Republic,0
Democratic Republic of the Congo,0
Ecuador,4
Egypt,3
El Salvador,2
Equatorial Guinea,0
Eritrea,0
Estonia,0
Eswatini,0
Ethiopia,0
Faeroe Islands,0
Finland,0
France,16
French Guiana,0
Gabon,0
Gambia,0
Georgia,0
Germany,20
Ghana,4
Gibraltar,0
Greece,3
Grenada,0
Guatemala,0
Guinea,0
Guinea-Bissau,0
Guyana,0
Haiti,1
Holy See,0
Honduras,3
Hong Kong,0
Hungary,9
Iceland,1
India,0
Indonesia,1
Iran,6
Iraq,1
Ireland,3
Isle of Man,0
Israel,1
Italy,18
Jamaica,1
Japan,7
Jordan,0
Kazakhstan,0
Kenya,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,0
Lebanon,0
Lesotho,0
Liberia,0
Libya,0
Liechtenstein,0
Lithuania,0
Luxembourg,0
Macao,0
Madagascar,0
Malawi,0
Malaysia,0
Maldives,0
Mali,0
Malta,0
Mauritania,0
Mauritius,0
Mayotte,0
Mexico,17
Moldova,0
Monaco,0
Mongolia,0
Montenegro,0
Morocco,6
Mozambique,0
Myanmar,0
Namibia,0
Nepal,0
Netherlands,11
New Zealand,2
Nicaragua,0
Niger,6
Nigeria,2
North Korea,0
North Macedonia,3
Norway,0
Oman,0
Pakistan,1
Panama,8
Paraguay,5
Peru,0
Philippines,9
Poland,8
Portugal,1
Qatar,0
Réunion,7
Romania,11
Russia,0
Rwanda,0
Saint Helena,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
San Marino,0
Sao Tome & Principe,6
Saudi Arabia,3
Senegal,13
Serbia,0
Seychelles,0
Sierra Leone,0
Singapore,1
Slovakia,2
Slovenia,0
Somalia,3
South Africa,11
South Korea,0
S. Sudan,16
Spain,0
Sri Lanka,0
State of Palestine,0
Sudan,0
Suriname,12
Sweden,12
Switzerland,0
Syria,0
Taiwan,0
Tajikistan,0
Tanzania,0
Thailand,0
The Bahamas,0
Timor-Leste,1
Togo,1
Trinidad and Tobago,6
Tunisia,2
Turkey,0
Turkmenistan,0
Uganda,1
Ukraine,1
United Arab Emirates,16
England,11
United States,14
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,0
Western Sahara,0
Yemen,0
Zambia,0
Zimbabwe,0
Scotland,2
Wales,
United Kingdom,13
