Country,value,type,pts
Algeria,10969.25,GDP per capita,12
Angola,6344.15,GDP per capita,2
Argentina,21511.59,GDP per capita,157
Australia,51349.49,GDP per capita,16
Austria,54395.78,GDP per capita,40
Belgium,51934.17,GDP per capita,73
Bolivia,8242.89,GDP per capita,1
Bosnia and Herzegovina,14813.49,GDP per capita,3
Brazil,14710.22,GDP per capita,247
Bulgaria,23712.9,GDP per capita,17
Cameroon,3707.7,GDP per capita,23
Canada,48218.96,GDP per capita,0
Chile,24311.6,GDP per capita,40
China,17531.14,GDP per capita,0
Colombia,14931.36,GDP per capita,30
Costa Rica,20536.95,GDP per capita,23
CÙte d'Ivoire,5286.96,GDP per capita,10
Croatia,29928.05,GDP per capita,44
Czech Republic,40917.25,GDP per capita,41
Denmark,58298.05,GDP per capita,33
Ecuador,10693.41,GDP per capita,17
Egypt,12976.29,GDP per capita,2
El Salvador,8800.42,GDP per capita,0
England,45839.15,GDP per capita,118
France,46716.37,GDP per capita,130
Germany,53484.02,GDP per capita,225
Ghana,5684.34,GDP per capita,18
Greece,29337.36,GDP per capita,8
Haiti,2759.66,GDP per capita,0
Honduras,5661.24,GDP per capita,3
Hungary,33862.59,GDP per capita,48
Iceland,54583.86,GDP per capita,1
Indonesia,11923.69,GDP per capita,0
Islamic Republic of Iran,15549.76,GDP per capita,13
Ireland,103102.56,GDP per capita,14
Iraq,9901.6,GDP per capita,0
Israel,42471.84,GDP per capita,2
Italy,42044.62,GDP per capita,156
Jamaica,9899.3,GDP per capita,3
Japan,40662.24,GDP per capita,27
Korea,44286.73,GDP per capita,31
Kuwait,40969.13,GDP per capita,1
Mexico,18837.56,GDP per capita,66
Morocco,8353.36,GDP per capita,22
Netherlands,57059.34,GDP per capita,104
New Zealand,42409.43,GDP per capita,3
Nigeria,4969.21,GDP per capita,21
Norway,64442.53,GDP per capita,9
Panama,29130.71,GDP per capita,0
Paraguay,12490.78,GDP per capita,31
Peru,12764.3,GDP per capita,18
Poland,34586.93,GDP per capita,57
Portugal,33581.28,GDP per capita,57
Qatar,95340.3,GDP per capita,0
Romania,30890.7,GDP per capita,29
Russia,28104.88,GDP per capita,67
Saudi Arabia,44954.01,GDP per capita,14
Senegal,3429.06,GDP per capita,18
Serbia,19695.03,GDP per capita,63
Slovak Republic,32280.15,GDP per capita,4
Slovenia,40199.05,GDP per capita,4
South Africa,13145.76,GDP per capita,10
Spain,38083.48,GDP per capita,110
Sweden,54239.69,GDP per capita,70
Switzerland,70764.02,GDP per capita,50
Togo,2163.58,GDP per capita,0
Trinidad and Tobago,24465.91,GDP per capita,1
Tunisia,10481.46,GDP per capita,14
T¸rkiye,31752.91,GDP per capita,16
Ukraine,13039.97,GDP per capita,7
United Arab Emirates,64697.99,GDP per capita,0
United States,63014.33,GDP per capita,35
Uruguay,22058.27,GDP per capita,88
Algeria,44.462,Population (millions),12
Angola,31.962,Population (millions),2
Argentina,45.842,Population (millions),157
Australia,25.767,Population (millions),16
Austria,8.946,Population (millions),40
Belgium,11.555,Population (millions),73
Bolivia,11.8,Population (millions),1
Bosnia and Herzegovina,3.481,Population (millions),3
Brazil,212.609,Population (millions),247
Bulgaria,6.839,Population (millions),17
Cameroon,27.224,Population (millions),23
Canada,38.226,Population (millions),0
Chile,19.718,Population (millions),40
China,"1,412.60",Population (millions),0
Colombia,51.049,Population (millions),30
Costa Rica,5.18,Population (millions),23
CÙte d'Ivoire,27.659,Population (millions),10
Croatia,4.034,Population (millions),44
Czech Republic,10.495,Population (millions),41
Denmark,5.84,Population (millions),33
Ecuador,17.757,Population (millions),17
Egypt,102.1,Population (millions),2
El Salvador,6.519,Population (millions),0
England,55.98,Population (millions),118
France,65.447,Population (millions),130
Germany,83.196,Population (millions),225
Ghana,31.394,Population (millions),18
Greece,10.679,Population (millions),8
Haiti,11.906,Population (millions),0
Honduras,10.117,Population (millions),3
Hungary,9.731,Population (millions),48
Iceland,0.369,Population (millions),1
Indonesia,272.249,Population (millions),0
Islamic Republic of Iran,84.841,Population (millions),13
Ireland,41.176,Population (millions),14
Iraq,5.039,Population (millions),0
Israel,9.367,Population (millions),2
Italy,59.236,Population (millions),156
Jamaica,2.74,Population (millions),3
Japan,125.507,Population (millions),27
Korea,51.736,Population (millions),31
Kuwait,4.736,Population (millions),1
Mexico,128.972,Population (millions),66
Morocco,36.313,Population (millions),22
Netherlands,17.475,Population (millions),104
New Zealand,5.112,Population (millions),3
Nigeria,211.401,Population (millions),21
Norway,5.415,Population (millions),9
Panama,4.337,Population (millions),0
Paraguay,7.353,Population (millions),31
Peru,33.829,Population (millions),18
Poland,37.84,Population (millions),57
Portugal,10.292,Population (millions),57
Qatar,2.618,Population (millions),0
Romania,19.202,Population (millions),29
Russia,145.558,Population (millions),67
Saudi Arabia,35.459,Population (millions),14
Senegal,17.204,Population (millions),18
Serbia,6.872,Population (millions),63
Slovak Republic,15.189,Population (millions),4
