Country,GDP per capita,Population (millions),Expenditure/GDP,"GDP(PPP, thousand millions)",Voice and Accountability index,Points,Continent
Algeria,10969.25,44.462,37.128,535.8,-1.01,12,Africa
Angola,6344.15,31.962,19.394,222.77,-0.84,2,Africa
Argentina,21511.59,45.842,37.832,1083.36,0.62,157,South America
Australia,51349.49,25.767,42.318,1453.55,1.38,16,Asia
Austria,54395.78,8.946,55.979,534.57,1.4,40,Europe
Belgium,51934.17,11.555,54.912,659.25,1.28,73,Europe
Bolivia,8242.89,11.8,34.398,106.86,-0.11,1,South America
Bosnia and Herzegovina,14813.49,3.481,40.169,56.65,-0.31,3,Europe
Brazil,14710.22,212.609,35.942,3435.87,0.28,247,South America
Bulgaria,23712.9,6.839,40.42,178.16,0.29,17,Europe
Cameroon,3707.7,27.224,16.523,110.89,-1.16,23,Africa
Canada,48218.96,38.226,46.001,2024.96,1.46,0,North and Central America
Chile,24311.6,19.718,33.466,526.64,0.97,40,South America
China,17531.14,"1,412.60",32.713,"27,206.09",-1.64,0,Asia
Colombia,14931.36,51.049,34.513,837.39,0.1,30,South America
Costa Rica,20536.95,5.18,20.95,116.87,1.09,23,North and Central America
Côte d'Ivoire,5286.96,27.659,20.859,160.65,-0.47,10,Africa
Croatia,29928.05,4.034,49.248,132.62,0.61,44,Europe
Czech Republic,40917.25,10.495,46.482,471.76,1.02,41,Europe
Denmark,58298.05,5.84,50.81,374.03,1.56,33,Europe
Ecuador,10693.41,17.757,35.51,208.6,0.11,17,South America
Egypt,12976.29,102.1,25.965,1455.5,-1.51,2,Africa
France,46716.37,65.447,59.052,3358.91,1.12,130,Europe
Germany,53484.02,83.196,51.253,4888.36,1.43,225,Europe
Ghana,5684.34,31.394,25.681,196.05,0.47,18,Africa
Greece,29337.36,10.679,56.871,344.17,0.96,8,Europe
Honduras,5661.24,10.117,28.424,62.92,-0.59,3,South America
Hungary,33862.59,9.731,47.919,362,0.4,48,Europe
Iceland,54583.86,0.369,49.234,22.12,1.37,1,Europe
Islamic Republic of Iran,15549.76,84.841,12.378,1449.33,-1.47,13,Asia
Israel,42471.84,9.367,40.388,437.08,0.68,2,Asia
Italy,42044.62,59.236,55.45,2734.61,1.1,156,Europe
Jamaica,9899.3,2.74,29.503,29.8,0.63,3,North and Central America
Japan,40662.24,125.507,42.52,5606.55,1.08,27,Asia
Korea,44286.73,51.736,25.845,2517.13,0.93,31,Asia
Mexico,18837.56,128.972,27.073,2669.06,-0.07,66,North and Central America
Morocco,8353.36,36.313,30.123,333.242,-0.61,22,Africa
Netherlands,57059.34,17.475,46.581,1095.45,1.5,104,Europe
New Zealand,42409.43,5.112,42.409,238.148,1.62,3,Asia
Nigeria,4969.21,211.401,13.297,"1,154.07",-0.64,21,Africa
Norway,64442.53,5.415,48.185,383.373,1.75,9,Europe
Panama,29130.71,4.337,24.829,138.809,0.55,0,South America
Paraguay,12490.78,7.353,25.309,100.9,0.01,31,South America
Peru,12764.3,33.829,23.551,474.37,0.18,18,South America
Poland,34586.93,37.84,44.2,1437.81,0.59,57,Europe
Portugal,33581.28,10.292,48.148,379.69,1.26,57,Europe
Qatar,95340.3,2.618,29.377,274.249,-1.17,0,Asia
Romania,30890.7,19.202,37.51,651.64,0.6,29,Europe
Russia,28104.88,145.558,35.929,4494.22,-1.1,67,Europe
Saudi Arabia,44954.01,35.459,33.238,1751.18,-1.59,14,Asia
Senegal,3429.06,17.204,25.739,64.81,0.19,18,Africa
Serbia,19695.03,6.872,35.125,148.68,-0.12,63,Europe
Slovenia,40199.05,60.143,48.934,93.14,0.91,4,Europe
South Africa,13145.76,22.156,32.976,868.58,0.79,10,Africa
Spain,38083.48,0.182,50.601,1983.11,1.01,110,Europe
Sweden,54239.69,10.452,49.857,622.83,1.51,70,Europe
Switzerland,70764.02,8.67,35.038,674.01,1.55,50,Europe
Togo,2163.58,8.49,22.952,20.18,-0.79,0,Africa
Trinidad and Tobago,24465.91,1.407,32.196,37.81,0.67,1,North and Central America
Tunisia,10481.46,12.019,33.184,138.39,0.19,14,Africa
Turkey,31752.91,84.68,31.198,2953.94,-0.86,16,Europe
Ukraine,13039.97,41.077,40.266,588.45,0.08,7,Europe
United Arab Emirates,64697.99,10.187,28.896,724.07,-1.19,0,Asia
United States,63014.33,332.183,42.364,"22,996.08",0.9,35,North and Central America
Uruguay,22058.27,3.543,30.918,85.86,1.3,88,South America
