Country,Points,Continent,GDP
Albania,0.754,Europe,45.953
Algeria,1.649,Africa,535.802
Andorra,0.242,Europe,4.643
Angola,1.522,Africa,222.765
Antigua and Barbuda,1.109,North and Central America,1.959
Argentina,1.961,South America,"1,083.36"
Armenia,0.778,Europe,43.433
Aruba,0.8,North and Central America,4.55
Australia,2.019,Asia,"1,453.55"
Austria,1.649,Europe,534.573
Azerbaijan,0.545,Europe,160.897
Bahamas,0.889,North and Central America,13.538
Bahrain,1.385,Asia,79.391
Bangladesh,0.655,Asia,"1,173.85"
Barbados,0.951,North and Central America,4.233
Belarus,0.818,Europe,202.797
Belgium,1.957,Europe,659.252
Belize,1.034,North and Central America,3.81
Benin,1.12,Africa,47.426
Bhutan,0.75,Asia,8.921
Bolivia,0.958,South America,106.856
Bosnia and Herzegovina,1.53,Europe,56.65
Botswana,1,Africa,42.2
Brazil,2.197,South America,"3,435.87"
Brunei,0.375,Asia,29.419
Bulgaria,1.569,Europe,178.16
Burkina Faso,1.515,Africa,52.998
Burundi,1.182,Africa,9.852
Cambodia,0.444,Asia,79.316
Cameroon,2.032,Africa,110.891
Canada,1.635,North and Central America,"2,024.96"
Central African Republic,0.5,Africa,5.023
Chad,1.111,Africa,27.036
Chile,1.409,South America,526.639
China,1.897,Asia,"27,206.09"
Taiwan,0.333,Asia,"1,465.54"
Colombia,1.412,South America,837.39
Comoros,0.4,Africa,2.913
Democratic Republic of the Congo,1.162,Africa,113.067
Costa Rica,1.743,North and Central America,116.871
Ivory Coast,1.917,Africa,160.648
Croatia,2.069,Europe,132.623
Cyprus,0.508,Europe,40.378
Czech Republic Representation of Czechs and Slovaks Czechoslovakia,1.823,Europe,471.758
Denmark,1.75,Europe,374.031
Djibouti,0.381,Africa,5.967
Dominica,0.708,North and Central America,0.85
Dominican Republic,1.273,North and Central America,227.48
Ecuador,1.242,South America,208.601
Egypt,1.901,Africa,"1,455.50"
El Salvador,1.519,North and Central America,63.022
England,2.287,Europe,45839.15
