Country,Points,Continent,GDP
Albania,0.754,UEFA,45.953
Algeria,1.649,CAF,535.802
Andorra,0.242,UEFA,4.643
Angola,1.522,CAF,222.765
Antigua and Barbuda,1.109,CONCACAF,1.959
Argentina,1.961,CONMEBOL,"1,083.36"
Armenia,0.778,UEFA,43.433
Aruba,0.8,CONCACAF,4.55
Australia,2.019,AFC,"1,453.55"
Austria,1.649,UEFA,534.573
Azerbaijan,0.545,UEFA,160.897
Bahamas,0.889,CONCACAF,13.538
Bahrain,1.385,AFC,79.391
Bangladesh,0.655,AFC,"1,173.85"
Barbados,0.951,CONCACAF,4.233
Belarus,0.818,UEFA,202.797
Belgium,1.957,UEFA,659.252
Belize,1.034,CONCACAF,3.81
Benin Dahomey,1.12,CAF,47.426
Bhutan,0.75,AFC,8.921
Bolivia,0.958,CONMEBOL,106.856
Bosnia and Herzegovina,1.53,UEFA,56.65
Botswana,1,CAF,42.2
Brazil,2.197,CONMEBOL,"3,435.87"
Brunei,0.375,AFC,29.419
Bulgaria,1.569,UEFA,178.16
Burkina Faso Upper Volta,1.515,CAF,52.998
Burundi,1.182,CAF,9.852
Cambodia,0.444,AFC,79.316
Cameroon,2.032,CAF,110.891
Canada,1.635,CONCACAF,"2,024.96"
Central African Republic,0.5,CAF,5.023
Chad,1.111,CAF,27.036
Chile,1.409,CONMEBOL,526.639
China,1.897,AFC,"27,206.09"
Chinese Taipei Republic of China,0.333,AFC,"1,465.54"
Colombia,1.412,CONMEBOL,837.39
Comoros,0.4,CAF,2.913
Democratic Republic of the Congo,1.162,CAF,113.067
Costa Rica,1.743,CONCACAF,116.871
Ivory Coast,1.917,CAF,160.648
Croatia,2.069,UEFA,132.623
Cyprus,0.508,UEFA,40.378
Czech Republic Representation of Czechs and Slovaks Czechoslovakia,1.823,UEFA,471.758
Denmark,1.75,UEFA,374.031
Djibouti,0.381,CAF,5.967
Dominica,0.708,CONCACAF,0.85
Dominican Republic,1.273,CONCACAF,227.48
Ecuador,1.242,CONMEBOL,208.601
Egypt,1.901,CAF,"1,455.50"
El Salvador,1.519,CONCACAF,63.022
England,2.287,UEFA,45839.15
Equatorial Guinea,1.036,CAF,25.688
Eritrea,0.3,CAF,6.925
Estonia,0.75,UEFA,56.747
Eswatini Swaziland,0.81,CAF,11.601
Ethiopia,0.959,CAF,312.75
Fiji,1.304,OFC,10.523
Finland,0.949,UEFA,296.908
France,1.983,UEFA,"3,358.91"
Gabon,1.286,CAF,35.528
Gambia,0.923,CAF,6.022
Georgia,0.781,UEFA,63.036
