Country,value,type,pts
Albania,14559.68,gdppc,0.754
Algeria,10969.25,gdppc,1.649
Andorra,53143.21,gdppc,0.242
Angola,6344.15,gdppc,1.522
Antigua and Barbuda,17946.51,gdppc,1.109
Argentina,21511.59,gdppc,1.961
Armenia,13345.27,gdppc,0.778
Aruba,37998.95,gdppc,0.8
Australia,51349.49,gdppc,2.019
Austria,54395.78,gdppc,1.649
Azerbaijan,14473.40,gdppc,0.545
The Bahamas,31654.63,gdppc,0.889
Bahrain,48592.83,gdppc,1.385
Bangladesh,6411.43,gdppc,0.655
Barbados,13349.44,gdppc,0.951
Belarus,19743.00,gdppc,0.818
Belgium,51934.17,gdppc,1.957
Belize,8062.77,gdppc,1.034
Benin,3457.17,gdppc,1.12
Bhutan,10790.92,gdppc,0.75
Bolivia,8242.89,gdppc,0.958
Bosnia and Herzegovina,14813.49,gdppc,1.53
Botswana,16001.59,gdppc,1
Brazil,14710.22,gdppc,2.197
Brunei Darussalam,62276.62,gdppc,0.375
Bulgaria,23712.90,gdppc,1.569
Burkina Faso,2241.66,gdppc,1.515
Burundi,733.16,gdppc,1.182
Cabo Verde,6995.33,gdppc,1.325
Cambodia,4559.47,gdppc,0.444
Cameroon,3707.70,gdppc,2.032
Canada,48218.96,gdppc,1.635
Central African Republic,929.35,gdppc,0.5
Chad,1454.88,gdppc,1.111
Chile,24311.60,gdppc,1.409
China,17531.14,gdppc,1.897
Colombia,14931.36,gdppc,0.333
Comoros,2878.32,gdppc,1.412
Democratic Republic of the Congo,1097.80,gdppc,0.4
Republic of Congo,3909.88,gdppc,1.631
Costa Rica,20536.95,gdppc,1.743
CÙte d'Ivoire,5286.96,gdppc,1.917
Croatia,29928.05,gdppc,2.069
Cyprus,41020.43,gdppc,0.508
Czech Republic,40917.25,gdppc,1.823
Denmark,58298.05,gdppc,1.75
Djibouti,5419.97,gdppc,0.381
Dominica,10497.05,gdppc,0.708
Dominican Republic,19645.65,gdppc,1.273
Ecuador,10693.41,gdppc,1.242
Egypt,12976.29,gdppc,1.901
El Salvador,8800.42,gdppc,1.519
England,45839.15,gdppc,2.287
Equatorial Guinea,16099.64,gdppc,1.036
Eritrea,1750.43,gdppc,0.3
Estonia,38810.65,gdppc,0.75
Eswatini,9271.23,gdppc,0.81
Ethiopia,2855.35,gdppc,0.959
Fiji,10587.40,gdppc,1.304
Finland,48838.56,gdppc,0.949
France,46716.37,gdppc,1.983
Gabon,15149.41,gdppc,1.286
The Gambia,2199.80,gdppc,0.923
Georgia,15388.76,gdppc,0.781
Germany,53484.02,gdppc,2.567
