Country,value,type,q pts
Albania,14559.68,GDP per capita,0.754
Algeria,10969.25,GDP per capita,1.649
Andorra,53143.21,GDP per capita,0.242
Angola,6344.15,GDP per capita,1.522
Antigua and Barbuda,17946.51,GDP per capita,1.109
Argentina,21511.59,GDP per capita,1.961
Armenia,13345.27,GDP per capita,0.778
Aruba,37998.95,GDP per capita,0.8
Australia,51349.49,GDP per capita,2.019
Austria,54395.78,GDP per capita,1.649
Azerbaijan,14473.4,GDP per capita,0.545
The Bahamas,31654.63,GDP per capita,0.889
Bahrain,48592.83,GDP per capita,1.385
Bangladesh,6411.43,GDP per capita,0.655
Barbados,13349.44,GDP per capita,0.951
Belarus,19743,GDP per capita,0.818
Belgium,51934.17,GDP per capita,1.957
Belize,8062.77,GDP per capita,1.034
Benin,3457.17,GDP per capita,1.12
Bhutan,10790.92,GDP per capita,0.75
Bolivia,8242.89,GDP per capita,0.958
Bosnia and Herzegovina,14813.49,GDP per capita,1.53
Botswana,16001.59,GDP per capita,1
Brazil,14710.22,GDP per capita,2.197
Brunei Darussalam,62276.62,GDP per capita,0.375
Bulgaria,23712.9,GDP per capita,1.569
Burkina Faso,2241.66,GDP per capita,1.515
Burundi,733.16,GDP per capita,1.182
Cabo Verde,6995.33,GDP per capita,1.325
Cambodia,4559.47,GDP per capita,0.444
Cameroon,3707.7,GDP per capita,2.032
Canada,48218.96,GDP per capita,1.635
Central African Republic,929.35,GDP per capita,0.5
Chad,1454.88,GDP per capita,1.111
Chile,24311.6,GDP per capita,1.409
China,17531.14,GDP per capita,1.897
Colombia,14931.36,GDP per capita,0.333
Comoros,2878.32,GDP per capita,1.412
Democratic Republic of the Congo,1097.8,GDP per capita,0.4
Republic of Congo,3909.88,GDP per capita,1.631
Costa Rica,20536.95,GDP per capita,1.743
CÙte d'Ivoire,5286.96,GDP per capita,1.917
Croatia,29928.05,GDP per capita,2.069
Cyprus,41020.43,GDP per capita,0.508
Czech Republic,40917.25,GDP per capita,1.823
Denmark,58298.05,GDP per capita,1.75
Djibouti,5419.97,GDP per capita,0.381
Dominica,10497.05,GDP per capita,0.708
Dominican Republic,19645.65,GDP per capita,1.273
Ecuador,10693.41,GDP per capita,1.242
Egypt,12976.29,GDP per capita,1.901
