Country,pts,gdppc,pop,exp_gdp,gdp
Albania,0.754,14559.68,2.873,31.552,45.95
Algeria,1.649,10969.25,44.462,37.128,535.8
Andorra,0.242,53143.21,0.08,39.15,1.16
Angola,1.522,6344.15,31.962,19.394,4.64
Antigua and Barbuda,1.109,17946.51,0.099,25.32,222.77
Argentina,1.961,21511.59,45.842,37.832,1.96
Armenia,0.778,13345.27,2.962,28.703,1083.36
Aruba,0.8,37998.95,0.109,29.369,43.43
Australia,2.019,51349.49,25.767,42.318,4.55
Austria,1.649,54395.78,8.946,55.979,1453.55
Azerbaijan,0.545,14473.40,10.119,32.418,534.57
The Bahamas,0.889,31654.63,0.389,32.958,160.9
Bahrain,1.385,48592.83,1.487,32.18,13.54
Bangladesh,0.655,6411.43,166.657,12.967,79.39
Barbados,0.951,13349.44,0.289,33.745,1173.85
Belarus,0.818,19743.00,9.35,37.063,4.23
Belgium,1.957,51934.17,11.555,54.912,202.8
Belize,1.034,8062.77,0.43,24.991,659.25
Benin,1.12,3457.17,12.487,19.855,3.81
Bhutan,0.75,10790.92,0.753,33.03,47.43
Bolivia,0.958,8242.89,11.8,34.398,8.92
Bosnia and Herzegovina,1.53,14813.49,3.481,40.169,106.86
Botswana,1,16001.59,2.401,34.004,56.65
Brazil,2.197,14710.22,212.609,35.942,42.2
Brunei Darussalam,0.375,62276.62,0.43,29.136,3435.87
Bulgaria,1.569,23712.90,6.839,40.42,29.42
Burkina Faso,1.515,2241.66,21.521,27.373,178.16
Burundi,1.182,733.16,12.231,27.865,53
Cabo Verde,1.325,6995.33,0.563,29.928,9.85
Cambodia,0.444,4559.47,15.835,28.078,4.33
Cameroon,2.032,3707.70,27.224,16.523,79.32
Canada,1.635,48218.96,38.226,46.001,110.89
Central African Republic,0.5,929.35,4.92,19.686,2024.96
Chad,1.111,1454.88,16.915,18.427,5.02
Chile,1.409,24311.60,19.718,33.466,27.04
China,1.897,17531.14,"1,412.60",32.713,526.64
Colombia,0.333,14931.36,51.049,34.513,1465.54
Comoros,1.412,2878.32,0.921,19.768,837.39
Democratic Republic of the Congo,0.4,1097.80,93.751,14.8,2.91
Republic of Congo,1.631,3909.88,4.799,22.171,113.07
Costa Rica,1.743,20536.95,5.18,20.95,116.87
Côte d'Ivoire,1.917,5286.96,27.659,20.859,160.65
Croatia,2.069,29928.05,4.034,49.248,132.62
Cyprus,0.508,41020.43,0.896,44.096,40.38
Czech Republic,1.823,40917.25,10.495,46.482,471.76
Denmark,1.75,58298.05,5.84,50.81,374.03
Djibouti,0.381,5419.97,1.002,23.471,5.97
Dominica,0.708,10497.05,0.074,54.289,0.85
Dominican Republic,1.273,19645.65,10.54,18.479,227.48
Ecuador,1.242,10693.41,17.757,35.51,208.6
Egypt,1.901,12976.29,102.1,25.965,1455.5
El Salvador,1.519,8800.42,6.519,32.016,63.02
England,2.287,45839.15,55.98,,3776
Equatorial Guinea,1.036,16099.64,1.452,12.659,25.69
Eritrea,0.3,1750.43,3.601,37.573,6.93
Estonia,0.75,38810.65,1.331,41.28,56.75
Eswatini,0.81,9271.23,1.139,29.809,11.6
Ethiopia,0.959,2855.35,99.701,13.798,312.75
Fiji,1.304,10587.40,0.905,34.236,10.52
Finland,0.949,48838.56,5.534,55.308,296.91
France,1.983,46716.37,65.447,59.052,3358.91
Gabon,1.286,15149.41,2.135,16.583,35.53
The Gambia,0.923,2199.80,2.492,21.436,6.02
Georgia,0.781,15388.76,3.729,31.444,63.04
Germany,2.567,53484.02,83.196,51.253,4888.36
Ghana,1.725,5684.34,31.394,25.681,196.05
Greece,1.478,29337.36,10.679,56.871,344.17
Grenada,0.931,15205.62,0.113,31.455,1.89
Guatemala,1.492,8327.88,18.34,13.543,167.79
Guinea,1.469,2492.05,14.317,15.385,39.2
Guinea-Bissau,0.95,2386.97,1.855,25.034,4.87
Guyana,0.789,23041.05,0.789,25.873,19.98
Haiti,1.505,2759.66,11.906,10.838,36.1
