year, gini , top5 ,,,,,,,,,,,,,,,
" 1,950.00 ", 68.20 , 33.90 ,,,,,,,,,,,,,,,
" 1,951.00 ", 68.05 , 33.81 ,,,,,,,,,,,,,,,
" 1,952.00 ", 67.89 , 33.75 ,,,,,,,,,,,,,,,
" 1,953.00 ", 67.72 , 33.70 ,,,,,,,,,,,,,,,
" 1,954.00 ", 67.91 , 33.46 ,,,,,,,,,,,,,,,
" 1,955.00 ", 67.98 , 33.37 ,,,,,,,,,,,,,,,
" 1,956.00 ", 67.74 , 33.15 ,,,,,,,,,,,,,,,
" 1,957.00 ", 67.75 , 32.80 ,,,,,,,,,,,,,,,
" 1,958.00 ", 67.60 , 32.52 ,,,,,,,,,,,,,,,
" 1,959.00 ", 68.02 , 33.01 ,,,,,,,,,,,,,,,
" 1,960.00 ", 68.11 , 32.88 ,,,,,,,,,,,,,,,
" 1,961.00 ", 68.55 , 33.08 ,,,,,,,,,,,,,,,
" 1,962.00 ", 68.60 , 32.80 ,,,,,,,,,,,,,,,
" 1,963.00 ", 68.38 , 32.73 ,,,,,,,,,,,,,,,
" 1,964.00 ", 68.32 , 32.60 ,,,,,,,,,,,,,,,
" 1,965.00 ", 68.54 , 32.64 ,,,,,,,,,,,,,,,
" 1,966.00 ", 68.82 , 32.71 ,,,,,,,,,,,,,,,
" 1,967.00 ", 69.07 , 32.88 ,,,,,,,,,,,,,,,
" 1,968.00 ", 69.36 , 32.78 ,,,,,,,,,,,,,,,
" 1,969.00 ", 69.36 , 32.93 ,,,,,,,,,,,,,,,
" 1,970.00 ", 69.15 , 32.77 ,,,,,,,,,,,,,,,
" 1,971.00 ", 69.30 , 32.89 ,,,,,,,,,,,,,,,
" 1,972.00 ", 69.61 , 32.92 ,,,,,,,,,,,,,,,
" 1,973.00 ", 69.70 , 33.09 ,,,,,,,,,,,,,,,
" 1,974.00 ", 69.68 , 32.92 ,,,,,,,,,,,,,,,
" 1,975.00 ", 69.51 , 32.77 ,,,,,,,,,,,,,,,
" 1,976.00 ", 69.69 , 32.87 ,,,,,,,,,,,,,,,
" 1,977.00 ", 69.61 , 32.70 ,,,,,,,,,,,,,,,
" 1,978.00 ", 69.38 , 32.65 ,,,,,,,,,,,,,,,
" 1,979.00 ", 69.66 , 32.89 ,,,,,,,,,,,,,,,
" 1,980.00 ", 69.47 , 32.73 ,,,,,,,,,,,,,,,
" 1,981.00 ", 69.41 , 32.76 ,,,,,,,,,,,,,,,
" 1,982.00 ", 69.14 , 32.63 ,,,,,,,,,,,,,,,
" 1,983.00 ", 69.01 , 32.73 ,,,,,,,,,,,,,,,
" 1,984.00 ", 69.08 , 33.15 ,,,,,,,,,,,,,,,
" 1,985.00 ", 69.05 , 33.27 ,,,,,,,,,,,,,,,
" 1,986.00 ", 69.13 , 33.59 ,,,,,,,,,,,,,,,
" 1,987.00 ", 69.24 , 33.79 ,,,,,,,,,,,,,,,
" 1,988.00 ", 69.39 , 34.01 ,,,,,,,,,,,,,,,
" 1,989.00 ", 69.77 , 34.59 ,,,,,,,,,,,,,,,
" 1,990.00 ", 69.95 , 35.12 ,,,,,,,,,,,,,,,
" 1,991.00 ", 70.18 , 35.74 ,,,,,,,,,,,,,,,
" 1,992.00 ", 70.07 , 36.12 ,,,,,,,,,,,,,,,
" 1,993.00 ", 69.88 , 36.32 ,,,,,,,,,,,,,,,
" 1,994.00 ", 69.79 , 36.84 ,,,,,,,,,,,,,,,
" 1,995.00 ", 69.51 , 36.55 ,,,,,,,,,,,,,,,
" 1,996.00 ", 69.16 , 36.51 ,,,,,,,,,,,,,,,
" 1,997.00 ", 68.93 , 36.30 ,,,,,,,,,,,,,,,
" 1,998.00 ", 68.98 , 36.73 ,,,,,,,,,,,,,,,
" 1,999.00 ", 68.83 , 36.51 ,,,,,,,,,,,,,,,
" 2,000.00 ", 68.76 , 36.48 ,,,,,,,,,,,,,,,
" 2,001.00 ", 68.43 , 36.36 ,,,,,,,,,,,,,,,
" 2,002.00 ", 68.10 , 35.97 ,,,,,,,,,,,,,,,
" 2,003.00 ", 67.68 , 35.57 ,,,,,,,,,,,,,,,
" 2,004.00 ", 67.24 , 35.19 ,,,,,,,,,,,,,,,
" 2,005.00 ", 66.79 , 34.77 ,,,,,,,,,,,,,,,
" 2,006.00 ", 66.22 , 34.28 ,,,,,,,,,,,,,,,
" 2,007.00 ", 65.57 , 33.63 ,,,,,,,,,,,,,,,
" 2,008.00 ", 64.90 , 32.87 ,,,,,,,,,,,,,,,
