year,gini,top5
1950,68.20,33.90
1951,68.05,33.81
1952,67.89,33.75
1953,67.72,33.70
1954,67.91,33.46
1955,67.98,33.37
1956,67.74,33.15
1957,67.75,32.80
1958,67.60,32.52
1959,68.02,33.01
1960,68.11,32.88
1961,68.55,33.08
1962,68.60,32.80
1963,68.38,32.73
1964,68.32,32.60
1965,68.54,32.64
1966,68.82,32.71
1967,69.07,32.88
1968,69.36,32.78
1969,69.36,32.93
1970,69.15,32.77
1971,69.30,32.89
1972,69.61,32.92
1973,69.70,33.09
1974,69.68,32.92
1975,69.51,32.77
1976,69.69,32.87
1977,69.61,32.70
1978,69.38,32.65
1979,69.66,32.89
1980,69.47,32.73
1981,69.41,32.76
1982,69.14,32.63
1983,69.01,32.73
1984,69.08,33.15
1985,69.05,33.27
1986,69.13,33.59
1987,69.24,33.79
1988,69.39,34.01
1989,69.77,34.59
1990,69.95,35.12
1991,70.18,35.74
1992,70.07,36.12
1993,69.88,36.32
1994,69.79,36.84
1995,69.51,36.55
1996,69.16,36.51
1997,68.93,36.30
1998,68.98,36.73
1999,68.83,36.51
2000,68.76,36.48
2001,68.43,36.36
2002,68.10,35.97
2003,67.68,35.57
2004,67.24,35.19
2005,66.79,34.77
2006,66.22,34.28
2007,65.57,33.63
2008,64.90,32.87
2009,63.80,32.71
2010,63.28,31.65
2011,62.92,31.22
2012,62.54,31.06
2013,62.11,30.75
2014,61.68,30.47
2015,61.47,30.46
2016,61.12,30.11
2017,60.92,29.86
2018,60.81,29.67
2019,60.65,29.59
2020,60.60,29.48
,,
