,Country/Territory,IMF[1],IMF[1]
,Country/Territory,Estimate,Year
0,World,103496115,2022
1,United States,25035164,2022
2,China,18321197,[n 1]2022
3,Japan,4300621,2022
4,Germany,4031149,2022
5,India,3468566,2022
6,United Kingdom,3198470,2022
7,France,2778090,2022
8,Canada,2200352,2022
9,Russia,2133092,2022
10,Italy,1996934,2022
11,Iran,1973738,[n 4]2022
12,Brazil,1894708,2022
13,South Korea,1734207,2022
14,Australia,1724787,2022
15,Mexico,1424533,2022
16,Spain,1389927,2022
17,Indonesia,1289429,2022
18,Saudi Arabia,1010588,2022
19,Netherlands,990583,2022
20,Turkey,853487,2022
21,Taiwan,828659,[n 5]2022
22,Switzerland,807418,2022
23,Poland,716305,2022
24,Argentina,630698,2022
25,Sweden,603922,2022
26,Belgium,589491,2022
27,Thailand,534758,2022
28,Israel,527179,2022
29,Ireland,519776,2022
30,Norway,504703,2022
31,Nigeria,504203,2022
32,United Arab Emirates,503913,2022
33,Egypt,469094,2022
34,Austria,468046,2022
35,Bangladesh,460751,2022
36,Malaysia,434059,2022
37,Singapore,423632,2022
38,Vietnam,413808,2022
39,South Africa,411480,2022
40,Philippines,401662,2022
41,Denmark,386724,2022
42,Pakistan,376493,2021
43,Hong Kong,368373,[n 6]2022
44,Colombia,342919,2022
45,Chile,310866,2022
46,Romania,299885,2022
47,Czech Republic,295618,2022
48,Iraq,282876,2022
49,Finland,281411,2022
50,Portugal,255854,2022
51,New Zealand,242700,2022
52,Peru,239333,2022
53,Kazakhstan,224338,2022
54,Greece,222008,2022
55,Qatar,221369,2022
56,Ukraine,199719,[n 7]2021
57,Algeria,187155,2022
58,Hungary,184651,2022
59,Kuwait,183568,2022
60,Morocco,142874,2022
61,Angola,124794,2022
62,Puerto Rico,118677,2022
63,Ecuador,115469,2022
64,Kenya,114858,2022
65,Slovakia,112418,2022
66,Dominican Republic,112417,2022
67,Ethiopia,111181,2022
68,Oman,108969,2022
69,Cuba,—,—
70,Guatemala,91318,2022
71,Bulgaria,85008,2022
72,Luxembourg,82154,2022
73,Venezuela,82145,2022
74,Belarus,79704,2022
75,Uzbekistan,79117,2022
76,Tanzania,76582,2022
77,Ghana,75996,2022
78,Turkmenistan,74439,2022
79,Sri Lanka,73739,2022
80,Uruguay,71161,2022
81,Panama,71085,2022
82,Azerbaijan,70066,2022
83,Croatia,69380,2022
84,Ivory Coast,68630,2022
85,Costa Rica,68489,2022
86,Lithuania,68031,2022
87,DR Congo,63909,2022
88,Serbia,62721,2022
89,Slovenia,62191,2022
90,Myanmar,59530,2022
91,Uganda,48352,2022
92,Jordan,48066,2022
93,Tunisia,46282,2022
94,Cameroon,44212,2022
95,Bahrain,43544,2022
96,Bolivia,43431,2022
97,Sudan,42762,2022
98,Paraguay,41855,2022
99,Libya,40836,2022
100,Latvia,40588,2022
101,Estonia,39054,2022
102,Nepal,39028,2022
103,Zimbabwe,38280,2022
104,El Salvador,31989,2022
105,Papua New Guinea,31362,2022
106,Honduras,30568,2022
107,Trinidad and Tobago,29337,2022
108,Cambodia,28330,2022
109,Iceland,27702,2022
110,Yemen,27594,2022
111,Senegal,27542,2022
112,Zambia,27025,2022
113,Cyprus,26705,[n 10]2022
114,Georgia,25172,[n 11]2022
115,Bosnia and Herzegovina,23681,2022
116,Macau,23420,[n 12]2022
117,Gabon,22221,2022
118,Haiti,20182,2022
119,Afghanistan,20136,2020
120,Guinea,19745,2022
121,Palestine,19698,[n 13]2022
122,Brunei,18464,2022
123,Mali,18434,2022
124,Burkina Faso,18268,2022
125,Albania,18256,2022
126,Lebanon,24494,2020
127,Botswana,18005,2022
128,Mozambique,17873,2022
129,Armenia,17693,2022
130,Benin,17547,2022
131,Malta,17156,2022
132,Equatorial Guinea,16877,2022
133,Laos,16250,2022
134,Jamaica,16104,2022
135,North Korea,—,—
136,Mongolia,15720,2022
137,Nicaragua,15695,2022
138,Syria,—,—
139,Madagascar,15106,2022
140,Guyana,14839,2022
141,Niger,14639,2022
142,Congo,14486,2022
143,North Macedonia,14101,2022
144,Moldova,14048,[n 15]2022
145,Chad,12945,2022
146,Bahamas,12693,2022
147,Namibia,12488,2022
148,Rwanda,12098,2022
149,Malawi,11554,2022
150,Mauritius,11497,2022
151,Mauritania,10091,2022
152,Tajikistan,9983,2022
153,Kyrgyzstan,9750,2022
154,New Caledonia,—,—
155,Kosovo,9242,2022
156,Somalia,8416,2022
157,Togo,8359,2022
158,Bermuda,—,—
159,Liechtenstein,—,—
160,Monaco,—,—
161,Cayman Islands,—,—
162,Montenegro,6127,2022
163,Maldives,5900,2022
164,Guam,—,—
165,Barbados,5788,2022
166,French Polynesia,—,—
167,Fiji,4859,2022
168,South Sudan,4784,2022
169,Eswatini,4669,2022
170,Sierra Leone,4101,2022
171,Liberia,3900,2022
172,Djibouti,3725,2022
173,Burundi,3686,2022
174,Aruba,3499,2022
175,Andorra,3302,2022
176,Greenland,—,—
177,Suriname,3011,2022
178,Bhutan,2707,2022
179,Belize,2676,2022
180,Lesotho,2507,2022
181,Curaçao,—,—
182,Central African Republic,2488,2022
183,East Timor,2455,2022
184,Eritrea,2369,2022
185,Gambia,2172,2022
186,Cape Verde,2053,2022
187,Seychelles,2005,2022
188,Saint Lucia,1972,2022
189,Zanzibar,—,—
190,Antigua and Barbuda,1692,2022
191,Guinea-Bissau,1624,2022
192,San Marino,1623,2022
193,Solomon Islands,1601,2022
194,British Virgin Islands,—,—
195,Comoros,1242,2022
196,Grenada,1192,2022
197,Northern Mariana Islands,—,—
198,Saint Kitts and Nevis,1115,2022
199,Vanuatu,984,2022
200,Saint Vincent and the Grenadines,948,2022
201,Turks and Caicos Islands,—,—
202,Sint Maarten,—,—
203,Samoa,830,2022
204,American Samoa,—,—
