,Country,GDP per Capita
0,Luxembourg,118001
1,Singapore,97057
2,Ireland,94392
3,Qatar,93508
4,Switzerland,72874
5,Norway,65800
6,United States,63416
7,Brunei,62371
8,Hong Kong,59520
9,Denmark,58932
10,United Arab Emirates,58753
11,San Marino,58427
12,Netherlands,57534
13,Macau,56078
14,Taiwan,55724
15,Iceland,55596
16,Austria,55218
17,Sweden,54146
18,Germany,54076
19,Australia,51680
20,Belgium,51096
21,Finland,49853
22,Bahrain,48766
23,Canada,48720
24,Saudi Arabia,46811
25,France,46062
26,South Korea,44621
27,United Kingdom,44117
28,Malta,42856
29,Japan,42248
30,New Zealand,42018
31,Kuwait,41627
32,Italy,40861
33,Czech Republic,40618
34,Israel,40547
35,Cyprus,40107
36,Slovenia,40067
37,Spain,39121
38,Estonia,38834
39,Lithuania,38824
40,Poland,34103
41,Portugal,34043
42,Puerto Rico,34025
43,Hungary,33030
44,Slovakia,32709
45,Latvia,31509
46,Romania,30526
47,Turkey,30253
48,Oman,30178
49,Aruba,29090
50,Greece,28748
51,Russia,27903
52,Croatia,27717
53,Malaysia,27402
54,Panama,27003
55,Kazakhstan,26565
56,Seychelles,25414
57,Trinidad and Tobago,25031
58,Bulgaria,23817
59,Chile,23366
60,Uruguay,22459
61,Argentina,20751
62,Mauritius,20292
63,Belarus,20187
64,Costa Rica,19990
65,Guyana,19684
66,Maldives,19609
67,Serbia,19146
68,Mexico,19130
69,Antigua and Barbuda,18618
70,Dominican Republic,18608
71,Thailand,18236
72,Equatorial Guinea,17788
73,China,17192
74,Botswana,16893
75,North Macedonia,16712
76,Turkmenistan,16520
77,Gabon,15970
78,Grenada,15431
79,Bosnia and Herzegovina,15047
80,Georgia,14918
81,Brazil,14916
82,Suriname,14513
83,Azerbaijan,14431
84,Colombia,14324
85,Palau,14309
86,Albania,14218
87,Barbados,13553
88,Armenia,13261
89,Sri Lanka,13214
90,Ukraine,13110
91,Iran,13073
92,Paraguay,12881
93,Moldova,12811
94,Egypt,12790
95,Indonesia,12222
96,Bhutan,12060
97,South Africa,12032
98,Peru,11871
99,Mongolia,11825
100,Fiji,11567
101,Lebanon,11564
102,Algeria,11112
103,Dominica,11072
104,Ecuador,11009
105,Vietnam,10869
106,Jordan,10306
107,Tunisia,10120
108,Iraq,10003
109,Jamaica,9975
110,Nauru,9856
111,Namibia,9396
112,Eswatini,8957
113,Philippines,8452
114,El Salvador,8422
115,Bolivia,8344
116,Guatemala,8293
117,Laos,8111
118,Morocco,7620
119,Uzbekistan,7449
120,Angola,6932
121,India,6461
122,Tonga,6191
123,Belize,6046
124,Libya,5893
125,Mauritania,5834
126,Ghana,5693
127,Samoa,5653
128,Nicaragua,5575
129,Honduras,5450
130,Ivory Coast,5365
131,Bangladesh,5307
132,Myanmar,5242
133,Nigeria,5187
134,Venezuela,5178
135,Pakistan,5150
136,Djibouti,5096
137,Kyrgyzstan,5036
138,Kenya,4926
139,Cambodia,4695
140,Tuvalu,4497
141,Republic of the Congo,4188
142,Sudan,4098
143,Nepal,4061
144,Papua New Guinea,3833
145,Marshall Islands,3786
146,Tajikistan,3676
147,Cameroon,3646
148,Senegal,3478
149,Micronesia,3446
150,Benin,3437
151,Timor Leste,3382
152,Zambia,3342
153,Comoros,3048
154,Haiti,2916
155,Ethiopia,2908
156,Tanzania,2821
157,Lesotho,2718
158,Zimbabwe,2622
159,Guinea,2604
160,Vanuatu,2586
161,Uganda,2574
162,Solomon Islands,2455
163,Mali,2401
164,Afghanistan,2390
165,Guinea Bissau,2348
166,Rwanda,2337
167,Gambia,2276
168,Burkina Faso,2262
169,Kiribati,2200
170,Togo,2199
171,Yemen,1927
172,Eritrea,1821
173,Sierra Leone,1725
174,Chad,1611
175,Madagascar,1599
176,Liberia,1557
177,Mozambique,1277
178,Niger,1259
179,DR Congo,1106
180,Malawi,993
181,Central African Republic,979
182,Somalia,925
183,South Sudan,791
184,Burundi,760
